node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
17766,-1,100,100,100,100,100,0
17767,17766,17,100,100,100,100,0
17768,17767,0,17,100,100,100,0
17769,17766,73,100,100,100,100,0
17770,17769,75,73,100,100,100,0
17771,17766,74,100,100,100,100,0
17772,17771,75,74,100,100,100,0
17773,17771,75,74,100,100,100,0
17774,17771,75,74,100,100,100,0
17775,17771,75,74,100,100,100,0
17776,17771,75,74,100,100,100,0
17777,17771,75,74,100,100,100,0
17778,17771,75,74,100,100,100,0
17779,17771,75,74,100,100,100,0
17780,17771,75,74,100,100,100,0
17781,17766,73,100,100,100,100,0
17782,17781,75,73,100,100,100,0
17783,17766,73,100,100,100,100,0
17784,17783,75,73,100,100,100,0
17785,17766,73,100,100,100,100,0
17786,17785,75,73,100,100,100,0
17787,17766,74,100,100,100,100,0
17788,17787,75,74,100,100,100,0
17789,17787,75,74,100,100,100,0
17790,17787,75,74,100,100,100,0
17791,17787,75,74,100,100,100,0
17792,17766,74,100,100,100,100,0
17793,17792,75,74,100,100,100,0
17794,17766,66,100,100,100,100,0
17795,17794,12,66,100,100,100,0
17796,17795,14,56,65,76,76,0
17797,17794,55,66,100,100,100,0
17798,17797,12,55,66,100,100,0
17799,17798,13,12,7,57,56,0
17800,17797,13,12,7,57,56,0
17801,17794,52,66,100,100,100,0
17802,17801,55,52,66,100,100,0
17803,17802,12,55,52,66,100,0
17804,17803,13,12,7,57,56,0
17805,17802,13,12,7,57,56,0
17806,17801,12,52,66,100,100,0
17807,17806,13,12,7,57,56,0
17808,17766,95,100,100,100,100,0
17809,17808,12,95,100,100,100,0
17810,17809,13,12,7,57,56,0
17811,17808,17,95,100,100,100,0
17812,17811,0,17,95,100,100,0
17813,17808,66,95,100,100,100,0
17814,17813,12,66,95,100,100,0
17815,17814,14,56,65,76,76,0
17816,17813,12,66,95,100,100,0
17817,17816,13,12,7,57,56,0
17818,17808,66,95,100,100,100,0
17819,17818,12,66,95,100,100,0
17820,17819,14,56,65,76,76,0
17821,17818,12,66,95,100,100,0
17822,17821,13,12,7,57,56,0
17823,17808,66,95,100,100,100,0
17824,17823,12,66,95,100,100,0
17825,17824,14,56,65,76,76,0
17826,17823,12,66,95,100,100,0
17827,17826,13,12,7,57,56,0
17828,17808,66,95,100,100,100,0
17829,17828,12,66,95,100,100,0
17830,17829,14,56,65,76,76,0
17831,17828,12,66,95,100,100,0
17832,17831,13,12,7,57,56,0
17833,17808,66,95,100,100,100,0
17834,17833,12,66,95,100,100,0
17835,17834,14,56,65,76,76,0
17836,17833,12,66,95,100,100,0
17837,17836,13,12,7,57,56,0
17838,17808,66,95,100,100,100,0
17839,17838,12,66,95,100,100,0
17840,17839,14,56,65,76,76,0
17841,17838,12,66,95,100,100,0
17842,17841,13,12,7,57,56,0
17843,17766,87,100,100,100,100,0
17844,17843,89,87,100,100,100,0
17845,17844,90,89,87,100,100,0
17846,17845,12,90,89,87,100,0
17847,17846,13,12,7,57,56,0
17848,17844,90,89,87,100,100,0
17849,17848,56,90,89,87,100,0
17850,17849,12,56,90,89,87,0
17851,17850,13,12,7,57,56,0
17852,17849,57,56,90,89,87,0
17853,17852,55,57,56,90,89,0
17854,17853,12,55,57,56,90,0
17855,17854,13,12,7,57,56,0
17856,17853,13,12,7,57,56,0
17857,17849,13,12,7,57,56,0
17858,17844,0,89,87,100,100,0
17859,17843,66,87,100,100,100,0
