node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
54393,-1,100,100,100,100,100,0
54394,54393,17,100,100,100,100,0
54395,54394,0,17,100,100,100,0
54396,54393,73,100,100,100,100,0
54397,54396,75,73,100,100,100,0
54398,54393,73,100,100,100,100,0
54399,54398,75,73,100,100,100,0
54400,54393,73,100,100,100,100,0
54401,54400,75,73,100,100,100,0
54402,54393,73,100,100,100,100,0
54403,54402,75,73,100,100,100,0
54404,54393,73,100,100,100,100,0
54405,54404,75,73,100,100,100,0
54406,54393,73,100,100,100,100,0
54407,54406,75,73,100,100,100,0
54408,54393,74,100,100,100,100,0
54409,54408,75,74,100,100,100,0
54410,54393,74,100,100,100,100,0
54411,54410,75,74,100,100,100,0
54412,54393,74,100,100,100,100,0
54413,54412,75,74,100,100,100,0
54414,54412,75,74,100,100,100,0
54415,54412,75,74,100,100,100,0
54416,54412,75,74,100,100,100,0
54417,54412,75,74,100,100,100,0
54418,54412,75,74,100,100,100,0
54419,54412,75,74,100,100,100,0
54420,54412,75,74,100,100,100,0
54421,54412,75,74,100,100,100,0
54422,54412,75,74,100,100,100,0
54423,54393,73,100,100,100,100,0
54424,54423,75,73,100,100,100,0
54425,54393,74,100,100,100,100,0
54426,54425,75,74,100,100,100,0
54427,54393,74,100,100,100,100,0
54428,54427,75,74,100,100,100,0
54429,54427,75,74,100,100,100,0
54430,54393,74,100,100,100,100,0
54431,54430,75,74,100,100,100,0
54432,54393,74,100,100,100,100,0
54433,54432,75,74,100,100,100,0
54434,54393,66,100,100,100,100,0
54435,54434,12,66,100,100,100,0
54436,54435,14,12,7,64,62,0
54437,54434,55,66,100,100,100,0
54438,54437,12,55,66,100,100,0
54439,54438,13,12,7,57,56,0
54440,54437,13,12,7,57,56,0
54441,54434,52,66,100,100,100,0
54442,54441,55,52,66,100,100,0
54443,54442,12,55,52,66,100,0
54444,54443,13,12,7,57,56,0
54445,54442,13,12,7,57,56,0
54446,54441,12,52,66,100,100,0
54447,54446,13,12,7,57,56,0
54448,54393,66,100,100,100,100,0
54449,54448,12,66,100,100,100,0
54450,54449,14,12,7,64,62,0
54451,54448,56,66,100,100,100,0
54452,54451,12,56,66,100,100,0
54453,54452,13,12,7,57,56,0
54454,54451,57,56,66,100,100,0
