node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
61644,-1,100,100,100,100,100,0
61645,61644,17,100,100,100,100,0
61646,61645,0,17,100,100,100,0
61647,61644,73,100,100,100,100,0
61648,61647,75,73,100,100,100,0
61649,61644,73,100,100,100,100,0
61650,61649,75,73,100,100,100,0
61651,61644,73,100,100,100,100,0
61652,61651,75,73,100,100,100,0
61653,61644,73,100,100,100,100,0
61654,61653,75,73,100,100,100,0
61655,61644,73,100,100,100,100,0
61656,61655,75,73,100,100,100,0
61657,61644,73,100,100,100,100,0
61658,61657,75,73,100,100,100,0
61659,61644,73,100,100,100,100,0
61660,61659,75,73,100,100,100,0
61661,61644,74,100,100,100,100,0
61662,61661,75,74,100,100,100,0
61663,61661,75,74,100,100,100,0
61664,61661,75,74,100,100,100,0
61665,61661,75,74,100,100,100,0
61666,61661,75,74,100,100,100,0
61667,61661,75,74,100,100,100,0
61668,61661,75,74,100,100,100,0
61669,61661,75,74,100,100,100,0
61670,61661,75,74,100,100,100,0
61671,61644,73,100,100,100,100,0
61672,61671,75,73,100,100,100,0
61673,61644,73,100,100,100,100,0
61674,61673,75,73,100,100,100,0
61675,61644,73,100,100,100,100,0
61676,61675,75,73,100,100,100,0
61677,61644,73,100,100,100,100,0
61678,61677,75,73,100,100,100,0
61679,61644,74,100,100,100,100,0
61680,61679,75,74,100,100,100,0
61681,61679,75,74,100,100,100,0
61682,61679,75,74,100,100,100,0
61683,61644,74,100,100,100,100,0
61684,61683,75,74,100,100,100,0
61685,61644,74,100,100,100,100,0
61686,61685,75,74,100,100,100,0
61687,61644,74,100,100,100,100,0
61688,61687,75,74,100,100,100,0
61689,61644,74,100,100,100,100,0
61690,61689,75,74,100,100,100,0
61691,61689,75,74,100,100,100,0
61692,61689,75,74,100,100,100,0
61693,61689,75,74,100,100,100,0
61694,61689,75,74,100,100,100,0
61695,61689,75,74,100,100,100,0
61696,61689,75,74,100,100,100,0
61697,61644,66,100,100,100,100,0
61698,61697,12,66,100,100,100,0
61699,61698,14,12,65,76,76,0
61700,61697,55,66,100,100,100,0
61701,61700,12,55,66,100,100,0
61702,61701,13,12,7,57,56,0
61703,61700,13,12,7,57,56,0
61704,61697,52,66,100,100,100,0
61705,61704,55,52,66,100,100,0
61706,61705,12,55,52,66,100,0
61707,61706,13,12,7,57,56,0
61708,61705,13,12,7,57,56,0
61709,61704,12,52,66,100,100,0
61710,61709,13,12,7,57,56,0
61711,61644,87,100,100,100,100,0
61712,61711,89,87,100,100,100,0
61713,61712,90,89,87,100,100,0
61714,61713,12,90,89,87,100,0
61715,61714,13,12,7,57,56,0
61716,61712,90,89,87,100,100,0
61717,61716,56,90,89,87,100,0
61718,61717,12,56,90,89,87,0
61719,61718,13,12,7,57,56,0
61720,61717,57,56,90,89,87,0
61721,61720,56,57,56,90,89,0
61722,61721,12,56,57,56,90,0
61723,61722,13,12,7,57,56,0
61724,61721,57,56,57,56,90,0
61725,61724,12,57,56,57,56,0
61726,61725,13,12,7,57,56,0
61727,61721,13,12,7,57,56,0
61728,61717,13,12,7,57,56,0
61729,61712,0,89,87,100,100,0
61730,61711,81,87,100,100,100,0
