node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
65536,-1,100,100,100,100,100,0
65537,65536,17,100,100,100,100,0
65538,65537,0,17,100,100,100,0
65539,65536,73,100,100,100,100,0
65540,65539,75,73,100,100,100,0
65541,65536,73,100,100,100,100,0
65542,65541,75,73,100,100,100,0
65543,65536,73,100,100,100,100,0
65544,65543,75,73,100,100,100,0
65545,65536,74,100,100,100,100,0
65546,65545,75,74,100,100,100,0
65547,65545,75,74,100,100,100,0
65548,65545,75,74,100,100,100,0
65549,65545,75,74,100,100,100,0
65550,65545,75,74,100,100,100,0
65551,65545,75,74,100,100,100,0
65552,65545,75,74,100,100,100,0
65553,65545,75,74,100,100,100,0
65554,65536,73,100,100,100,100,0
65555,65554,75,73,100,100,100,0
65556,65536,73,100,100,100,100,0
65557,65556,75,73,100,100,100,0
65558,65536,73,100,100,100,100,0
65559,65558,75,73,100,100,100,0
65560,65536,74,100,100,100,100,0
65561,65560,75,74,100,100,100,0
65562,65536,74,100,100,100,100,0
65563,65562,75,74,100,100,100,0
65564,65562,75,74,100,100,100,0
65565,65536,74,100,100,100,100,0
65566,65565,75,74,100,100,100,0
65567,65536,74,100,100,100,100,0
65568,65567,75,74,100,100,100,0
65569,65536,74,100,100,100,100,0
65570,65569,75,74,100,100,100,0
65571,65569,75,74,100,100,100,0
65572,65569,75,74,100,100,100,0
65573,65569,75,74,100,100,100,0
65574,65569,75,74,100,100,100,0
65575,65536,66,100,100,100,100,0
65576,65575,12,66,100,100,100,0
65577,65576,14,12,64,60,53,0
65578,65575,55,66,100,100,100,0
65579,65578,12,55,66,100,100,0
65580,65579,13,12,7,57,56,0
65581,65578,13,12,7,57,56,0
65582,65575,52,66,100,100,100,0
65583,65582,55,52,66,100,100,0
65584,65583,12,55,52,66,100,0
65585,65584,13,12,7,57,56,0
65586,65583,13,12,7,57,56,0
65587,65582,12,52,66,100,100,0
65588,65587,13,12,7,57,56,0
65589,65536,87,100,100,100,100,0
65590,65589,89,87,100,100,100,0
65591,65590,90,89,87,100,100,0
65592,65591,12,90,89,87,100,0
65593,65592,13,12,7,57,56,0
65594,65590,90,89,87,100,100,0
65595,65594,56,90,89,87,100,0
65596,65595,12,56,90,89,87,0
65597,65596,13,12,7,57,56,0
65598,65595,57,56,90,89,87,0
65599,65598,7,57,56,90,89,0
65600,65599,12,7,57,56,90,0
65601,65600,13,12,7,57,56,0
65602,65599,12,7,57,56,90,0
65603,65602,13,12,7,57,56,0
65604,65599,13,12,7,57,56,0
65605,65595,13,12,7,57,56,0
65606,65589,76,87,100,100,100,0
65607,65606,41,76,87,100,100,0
65608,65607,52,41,76,87,100,0
65609,65608,55,52,41,76,87,0
65610,65609,12,55,52,41,76,0
65611,65610,13,12,7,57,56,0
65612,65609,13,12,7,57,56,0
