node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
24760,-1,100,100,100,100,100,0
24761,24760,17,100,100,100,100,0
24762,24761,0,17,100,100,100,0
24763,24760,73,100,100,100,100,0
24764,24763,75,73,100,100,100,0
24765,24760,73,100,100,100,100,0
24766,24765,75,73,100,100,100,0
24767,24760,73,100,100,100,100,0
24768,24767,75,73,100,100,100,0
24769,24760,73,100,100,100,100,0
24770,24769,75,73,100,100,100,0
24771,24760,73,100,100,100,100,0
24772,24771,75,73,100,100,100,0
24773,24760,73,100,100,100,100,0
24774,24773,75,73,100,100,100,0
24775,24760,73,100,100,100,100,0
24776,24775,75,73,100,100,100,0
24777,24760,74,100,100,100,100,0
24778,24777,75,74,100,100,100,0
24779,24777,75,74,100,100,100,0
24780,24777,75,74,100,100,100,0
24781,24760,74,100,100,100,100,0
24782,24781,75,74,100,100,100,0
24783,24781,75,74,100,100,100,0
24784,24781,75,74,100,100,100,0
24785,24781,75,74,100,100,100,0
24786,24781,75,74,100,100,100,0
24787,24781,75,74,100,100,100,0
24788,24781,75,74,100,100,100,0
24789,24781,75,74,100,100,100,0
24790,24781,75,74,100,100,100,0
24791,24781,75,74,100,100,100,0
24792,24760,73,100,100,100,100,0
24793,24792,75,73,100,100,100,0
24794,24760,73,100,100,100,100,0
24795,24794,75,73,100,100,100,0
24796,24760,73,100,100,100,100,0
24797,24796,75,73,100,100,100,0
24798,24760,73,100,100,100,100,0
24799,24798,75,73,100,100,100,0
24800,24760,74,100,100,100,100,0
24801,24800,75,74,100,100,100,0
24802,24800,75,74,100,100,100,0
24803,24760,66,100,100,100,100,0
24804,24803,12,66,100,100,100,0
24805,24804,14,12,65,76,76,0
24806,24803,55,66,100,100,100,0
24807,24806,12,55,66,100,100,0
24808,24807,13,12,55,55,41,0
24809,24806,13,12,55,55,41,0
24810,24803,52,66,100,100,100,0
24811,24810,55,52,66,100,100,0
24812,24811,12,55,52,66,100,0
24813,24812,13,12,55,55,41,0
24814,24811,13,12,55,55,41,0
24815,24810,12,52,66,100,100,0
24816,24815,13,12,55,55,41,0
24817,24760,65,100,100,100,100,0
24818,24817,12,65,100,100,100,0
24819,24818,14,12,65,76,76,0
24820,24817,56,65,100,100,100,0
24821,24820,12,56,65,100,100,0
24822,24821,13,12,55,55,41,0
24823,24820,57,56,65,100,100,0
24824,24823,7,57,56,65,100,0
24825,24824,12,7,57,56,65,0
24826,24825,13,12,55,55,41,0
24827,24824,56,7,57,56,65,0
24828,24827,12,56,7,57,56,0
24829,24828,13,12,55,55,41,0
24830,24827,57,56,7,57,56,0
24831,24830,12,57,56,7,57,0
24832,24831,13,12,55,55,41,0
24833,24827,13,12,55,55,41,0
24834,24824,13,12,55,55,41,0
24835,24820,13,12,55,55,41,0
24836,24760,87,100,100,100,100,0
24837,24836,89,87,100,100,100,0
24838,24837,90,89,87,100,100,0
24839,24838,56,90,89,87,100,0
24840,24839,12,56,90,89,87,0
24841,24840,13,12,55,55,41,0
24842,24839,57,56,90,89,87,0
24843,24842,7,57,56,90,89,0
24844,24843,0,7,57,56,90,0
24845,24843,55,7,57,56,90,0
