node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
70467,-1,100,100,100,100,100,0
70468,70467,17,100,100,100,100,0
70469,70468,0,17,100,100,100,0
70470,70467,73,100,100,100,100,0
70471,70470,75,73,100,100,100,0
70472,70467,73,100,100,100,100,0
70473,70472,75,73,100,100,100,0
70474,70467,73,100,100,100,100,0
70475,70474,75,73,100,100,100,0
70476,70467,74,100,100,100,100,0
70477,70476,75,74,100,100,100,0
70478,70467,74,100,100,100,100,0
70479,70478,75,74,100,100,100,0
70480,70478,75,74,100,100,100,0
70481,70478,75,74,100,100,100,0
70482,70478,75,74,100,100,100,0
70483,70478,75,74,100,100,100,0
70484,70478,75,74,100,100,100,0
70485,70478,75,74,100,100,100,0
70486,70467,73,100,100,100,100,0
70487,70486,75,73,100,100,100,0
70488,70467,73,100,100,100,100,0
70489,70488,75,73,100,100,100,0
70490,70467,73,100,100,100,100,0
70491,70490,75,73,100,100,100,0
70492,70467,73,100,100,100,100,0
70493,70492,75,73,100,100,100,0
70494,70467,73,100,100,100,100,0
70495,70494,75,73,100,100,100,0
70496,70467,74,100,100,100,100,0
70497,70496,75,74,100,100,100,0
70498,70496,75,74,100,100,100,0
70499,70496,75,74,100,100,100,0
70500,70496,75,74,100,100,100,0
70501,70467,74,100,100,100,100,0
70502,70501,75,74,100,100,100,0
70503,70467,74,100,100,100,100,0
70504,70503,75,74,100,100,100,0
70505,70467,74,100,100,100,100,0
70506,70505,75,74,100,100,100,0
70507,70467,74,100,100,100,100,0
70508,70507,75,74,100,100,100,0
70509,70467,74,100,100,100,100,0
70510,70509,75,74,100,100,100,0
70511,70509,75,74,100,100,100,0
70512,70509,75,74,100,100,100,0
70513,70509,75,74,100,100,100,0
70514,70467,74,100,100,100,100,0
70515,70514,75,74,100,100,100,0
70516,70467,74,100,100,100,100,0
70517,70516,75,74,100,100,100,0
70518,70467,66,100,100,100,100,0
70519,70518,12,66,100,100,100,0
70520,70519,14,12,7,65,76,0
70521,70518,55,66,100,100,100,0
70522,70521,12,55,66,100,100,0
70523,70522,13,12,57,56,7,0
70524,70521,13,12,57,56,7,0
70525,70518,52,66,100,100,100,0
70526,70525,55,52,66,100,100,0
70527,70526,12,55,52,66,100,0
70528,70527,13,12,57,56,7,0
70529,70526,13,12,57,56,7,0
70530,70525,12,52,66,100,100,0
70531,70530,13,12,57,56,7,0
70532,70467,87,100,100,100,100,0
70533,70532,89,87,100,100,100,0
70534,70533,90,89,87,100,100,0
70535,70534,56,90,89,87,100,0
70536,70535,12,56,90,89,87,0
70537,70536,13,12,57,56,7,0
70538,70535,57,56,90,89,87,0
70539,70538,7,57,56,90,89,0
70540,70539,12,7,57,56,90,0
70541,70540,13,12,57,56,7,0
70542,70539,12,7,57,56,90,0
70543,70542,13,12,57,56,7,0
70544,70539,13,12,57,56,7,0
70545,70535,13,12,57,56,7,0
70546,70533,90,89,87,100,100,0
70547,70546,56,90,89,87,100,0
70548,70547,12,56,90,89,87,0
70549,70548,13,12,57,56,7,0
70550,70547,57,56,90,89,87,0
70551,70550,56,57,56,90,89,0
70552,70551,12,56,57,56,90,0
70553,70552,13,12,57,56,7,0
70554,70551,57,56,57,56,90,0
70555,70554,7,57,56,57,56,0
70556,70555,12,7,57,56,57,0
70557,70556,13,12,57,56,7,0
70558,70555,12,7,57,56,57,0
70559,70558,13,12,57,56,7,0
70560,70555,13,12,57,56,7,0
70561,70551,13,12,57,56,7,0
70562,70547,13,12,57,56,7,0
70563,70533,90,89,87,100,100,0
70564,70563,12,90,89,87,100,0
70565,70564,13,12,57,56,7,0
70566,70532,76,87,100,100,100,0
70567,70566,38,76,87,100,100,0
70568,70567,39,38,76,81,76,0
70569,70567,41,38,76,87,100,0
70570,70569,12,41,38,76,87,0
70571,70570,13,12,57,56,7,0
70572,70569,49,41,38,76,81,0
70573,70569,0,41,38,76,87,0
70574,70567,41,38,76,87,100,0
70575,70574,12,41,38,76,87,0
70576,70575,13,12,57,56,7,0
70577,70574,50,41,76,77,87,0
70578,70574,7,41,38,76,87,0
70579,70578,0,7,41,38,76,0
70580,70578,0,7,41,38,76,0
70581,70578,13,12,57,56,7,0
70582,70566,66,76,87,100,100,0
70583,70582,12,66,76,87,100,0
70584,70583,14,12,7,65,76,0
70585,70582,56,66,76,87,100,0
70586,70585,12,56,66,76,87,0
70587,70586,13,12,57,56,7,0
70588,70585,57,56,66,76,87,0
70589,70588,7,57,56,66,76,0
70590,70589,12,7,57,56,66,0
70591,70590,13,12,57,56,7,0
70592,70589,12,7,57,56,66,0
70593,70592,13,12,57,56,7,0
70594,70589,13,12,57,56,7,0
70595,70585,13,12,57,56,7,0
70596,70582,63,66,76,87,100,0
70597,70596,56,63,66,76,87,0
70598,70597,12,56,63,66,76,0
70599,70598,13,12,57,56,7,0
70600,70597,57,56,63,66,76,0
70601,70600,0,57,56,63,66,0
70602,70597,13,12,57,56,7,0
70603,70596,56,63,66,76,87,0
70604,70603,12,56,63,66,76,0
70605,70604,13,12,57,56,7,0
70606,70603,57,56,63,66,76,0
70607,70606,0,57,56,63,66,0
70608,70603,13,12,57,56,7,0
70609,70596,64,63,66,76,87,0
70610,70609,12,64,63,66,76,0
70611,70610,14,12,7,65,76,0
70612,70609,56,64,63,66,76,0
70613,70612,56,56,64,63,66,0
70614,70613,12,56,56,64,63,0
70615,70614,13,12,57,56,7,0
70616,70613,57,56,56,64,63,0
70617,70616,0,57,56,56,64,0
70618,70613,13,12,57,56,7,0
70619,70612,57,56,64,63,66,0
70620,70619,0,57,56,64,63,0
70621,70612,13,12,57,56,7,0
70622,70566,77,76,87,100,100,0
70623,70622,7,77,76,87,100,0
70624,70623,12,7,77,76,87,0
70625,70624,14,12,7,65,76,0
70626,70623,12,7,77,76,87,0
70627,70626,14,12,7,65,76,0
70628,70623,14,12,7,65,76,0
70629,70622,52,77,76,87,100,0
70630,70629,55,52,77,76,87,0
70631,70630,12,55,52,77,76,0
70632,70631,13,12,57,56,7,0
70633,70630,13,12,57,56,7,0
70634,70622,76,77,76,87,100,0
