node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
61,-1,100,100,100,100,100,0
62,61,95,100,100,100,100,0
63,62,12,95,100,100,100,0
64,63,13,12,55,52,91,0
65,62,87,95,100,100,100,0
66,65,89,87,95,100,100,0
67,66,90,89,87,95,100,0
68,66,90,89,87,95,100,0
69,66,90,89,87,95,100,0
70,66,90,89,87,95,100,0
71,65,65,87,95,100,100,0
72,71,55,65,87,95,100,0
73,72,12,55,65,87,95,0
74,73,13,12,55,52,91,0
75,72,14,55,65,87,95,0
76,71,12,65,87,95,100,0
77,76,13,12,55,52,91,0
78,65,65,87,95,100,100,0
79,78,55,65,87,95,100,0
80,79,12,55,65,87,95,0
81,80,13,12,55,52,91,0
82,79,14,55,65,87,95,0
83,78,12,65,87,95,100,0
84,83,13,12,55,52,91,0
85,65,65,87,95,100,100,0
86,85,55,65,87,95,100,0
87,86,12,55,65,87,95,0
88,87,13,12,55,52,91,0
89,86,14,55,65,87,95,0
90,85,12,65,87,95,100,0
91,90,13,12,55,52,91,0
92,61,87,100,100,100,100,0
93,92,89,87,100,100,100,0
94,93,90,89,87,100,100,0
95,92,87,87,100,100,100,0
96,95,89,87,87,100,100,0
97,96,90,89,87,87,100,0
98,95,91,87,87,100,100,0
99,98,52,91,87,87,100,0
100,99,12,52,91,87,87,0
101,100,13,12,55,52,91,0
102,99,55,52,91,87,87,0
103,102,12,55,52,91,87,0
104,103,13,12,55,52,91,0
105,102,13,12,55,52,91,0
106,99,12,52,91,87,87,0
107,106,13,12,55,52,91,0
108,99,12,52,91,87,87,0
109,108,13,12,55,52,91,0
110,92,91,87,100,100,100,0
111,110,12,91,87,100,100,0
112,111,13,12,55,52,91,0
