node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
113,-1,100,100,100,100,100,0
114,113,73,100,100,100,100,0
115,114,75,73,100,100,100,0
116,114,75,73,100,100,100,0
117,113,74,100,100,100,100,0
118,117,75,74,100,100,100,0
119,113,87,100,100,100,100,0
120,119,89,87,100,100,100,0
121,120,90,89,87,100,100,0
122,119,91,87,100,100,100,0
123,122,24,91,87,100,100,0
124,123,24,24,91,87,100,0
125,124,0,24,24,91,87,0
126,124,25,24,24,91,87,0
127,124,52,24,24,91,87,0
128,127,55,52,24,24,91,0
129,128,12,55,52,24,24,0
130,129,13,12,55,55,52,0
131,128,13,12,55,55,52,0
132,127,0,52,24,24,91,0
133,127,0,52,24,24,91,0
134,123,25,24,24,91,87,0
135,123,0,24,91,87,100,0
136,113,87,100,100,100,100,0
137,136,89,87,100,100,100,0
138,137,90,89,87,100,100,0
139,136,76,87,100,100,100,0
140,139,55,76,87,100,100,0
141,140,12,55,76,87,100,0
142,141,13,12,55,55,52,0
143,140,13,12,55,55,52,0
144,139,91,76,87,100,100,0
145,144,12,91,76,87,100,0
146,145,13,12,55,55,52,0
147,139,91,76,87,100,100,0
148,147,55,91,76,87,100,0
149,148,12,55,91,76,87,0
150,149,13,12,55,55,52,0
151,148,13,12,55,55,52,0
152,113,87,100,100,100,100,0
153,152,89,87,100,100,100,0
154,153,90,89,87,100,100,0
155,153,90,89,87,100,100,0
156,152,17,87,100,100,100,0
157,156,0,17,87,100,100,0
158,152,65,87,100,100,100,0
159,158,12,65,87,100,100,0
160,159,14,12,77,87,100,0
161,158,52,65,87,100,100,0
162,161,12,52,65,87,100,0
163,162,13,12,55,55,52,0
164,161,55,52,65,87,100,0
165,164,12,55,52,65,87,0
166,165,13,12,55,55,52,0
167,164,13,12,55,55,52,0
168,152,77,87,100,100,100,0
169,168,12,77,87,100,100,0
170,169,14,12,77,87,100,0
171,168,12,77,87,100,100,0
172,171,13,12,55,55,52,0
173,168,17,77,87,100,100,0
174,173,52,17,77,87,100,0
175,174,55,52,17,77,87,0
176,175,12,55,52,17,77,0
177,176,13,12,55,55,52,0
178,175,13,12,55,55,52,0
179,174,52,52,17,77,87,0
180,179,55,52,52,17,77,0
181,180,55,55,52,52,17,0
182,181,12,55,55,52,52,0
183,182,13,12,55,55,52,0
184,181,13,12,55,55,52,0
185,180,13,12,55,55,52,0
186,179,12,52,52,17,77,0
187,186,13,12,55,55,52,0
188,168,17,77,87,100,100,0
189,188,52,17,77,87,100,0
190,189,55,52,17,77,87,0
191,190,12,55,52,17,77,0
192,191,13,12,55,55,52,0
193,190,13,12,55,55,52,0
194,189,52,52,17,77,87,0
195,194,55,52,52,17,77,0
196,195,12,55,52,52,17,0
197,196,13,12,55,55,52,0
198,195,13,12,55,55,52,0
199,194,0,52,52,17,77,0
200,152,52,87,100,100,100,0
201,200,12,52,87,100,100,0
202,201,13,12,55,55,52,0
203,113,87,100,100,100,100,0
204,203,89,87,100,100,100,0
205,204,90,89,87,100,100,0
206,204,90,89,87,100,100,0
207,203,17,87,100,100,100,0
208,207,0,17,87,100,100,0
209,203,65,87,100,100,100,0
210,209,12,65,87,100,100,0
211,210,14,12,77,87,100,0
212,209,52,65,87,100,100,0
213,212,12,52,65,87,100,0
214,213,13,12,55,55,52,0
215,212,55,52,65,87,100,0
216,215,12,55,52,65,87,0
217,216,13,12,55,55,52,0
218,215,13,12,55,55,52,0
219,203,77,87,100,100,100,0
220,219,12,77,87,100,100,0
221,220,14,12,77,87,100,0
222,219,12,77,87,100,100,0
223,222,13,12,55,55,52,0
224,219,17,77,87,100,100,0
225,224,52,17,77,87,100,0
226,225,55,52,17,77,87,0
227,226,12,55,52,17,77,0
228,227,13,12,55,55,52,0
229,226,13,12,55,55,52,0
230,225,52,52,17,77,87,0
231,230,55,52,52,17,77,0
232,231,55,55,52,52,17,0
233,232,12,55,55,52,52,0
234,233,13,12,55,55,52,0
235,232,13,12,55,55,52,0
236,231,13,12,55,55,52,0
237,230,52,52,52,17,77,0
238,237,12,52,52,52,17,0
239,238,13,12,55,55,52,0
240,237,12,52,52,52,17,0
241,240,13,12,55,55,52,0
242,219,17,77,87,100,100,0
243,242,52,17,77,87,100,0
244,243,55,52,17,77,87,0
245,244,12,55,52,17,77,0
246,245,13,12,55,55,52,0
247,244,13,12,55,55,52,0
248,243,52,52,17,77,87,0
249,248,55,52,52,17,77,0
250,249,12,55,52,52,17,0
251,250,13,12,55,55,52,0
252,249,13,12,55,55,52,0
253,248,0,52,52,17,77,0
254,203,52,87,100,100,100,0
255,254,12,52,87,100,100,0
256,255,13,12,55,55,52,0
257,113,87,100,100,100,100,0
258,257,89,87,100,100,100,0
259,258,90,89,87,100,100,0
260,258,90,89,87,100,100,0
261,257,17,87,100,100,100,0
262,261,0,17,87,100,100,0
263,257,72,87,100,100,100,0
264,257,52,87,100,100,100,0
265,264,12,52,87,100,100,0
266,265,13,12,55,55,52,0
