node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
267,-1,100,100,100,100,100,0
268,267,74,100,100,100,100,0
269,268,75,74,100,100,100,0
270,267,73,100,100,100,100,0
271,270,75,73,100,100,100,0
272,267,73,100,100,100,100,0
273,272,75,73,100,100,100,0
274,267,65,100,100,100,100,0
275,274,12,65,100,100,100,0
276,275,14,12,64,60,91,0
277,274,9,65,100,100,100,0
278,277,0,9,65,100,100,0
279,277,0,9,65,100,100,0
280,277,0,9,65,100,100,0
281,277,0,9,65,100,100,0
282,277,0,9,65,100,100,0
283,277,0,9,65,100,100,0
284,277,0,9,65,100,100,0
285,277,0,9,65,100,100,0
286,277,0,9,65,100,100,0
287,277,0,9,65,100,100,0
288,277,0,9,65,100,100,0
289,277,0,9,65,100,100,0
290,277,0,9,65,100,100,0
291,277,0,9,65,100,100,0
292,277,0,9,65,100,100,0
293,277,0,9,65,100,100,0
294,277,0,9,65,100,100,0
295,277,0,9,65,100,100,0
296,277,0,9,65,100,100,0
297,277,0,9,65,100,100,0
298,277,0,9,65,100,100,0
299,277,0,9,65,100,100,0
300,277,0,9,65,100,100,0
301,277,0,9,65,100,100,0
302,277,0,9,65,100,100,0
303,277,0,9,65,100,100,0
304,277,0,9,65,100,100,0
305,277,0,9,65,100,100,0
306,277,0,9,65,100,100,0
307,277,0,9,65,100,100,0
308,277,0,9,65,100,100,0
309,277,0,9,65,100,100,0
310,277,0,9,65,100,100,0
311,277,0,9,65,100,100,0
312,277,0,9,65,100,100,0
313,277,0,9,65,100,100,0
314,277,0,9,65,100,100,0
315,277,0,9,65,100,100,0
316,277,0,9,65,100,100,0
317,277,0,9,65,100,100,0
318,277,0,9,65,100,100,0
319,277,0,9,65,100,100,0
320,277,0,9,65,100,100,0
321,277,0,9,65,100,100,0
322,277,0,9,65,100,100,0
323,277,0,9,65,100,100,0
324,277,0,9,65,100,100,0
325,277,0,9,65,100,100,0
326,277,0,9,65,100,100,0
327,277,0,9,65,100,100,0
328,267,65,100,100,100,100,0
329,328,12,65,100,100,100,0
330,329,14,12,64,60,91,0
331,328,52,65,100,100,100,0
332,331,12,52,65,100,100,0
333,332,13,12,52,24,52,0
334,267,87,100,100,100,100,0
335,334,89,87,100,100,100,0
336,335,90,89,87,100,100,0
337,334,91,87,100,100,100,0
338,337,52,91,87,100,100,0
339,338,12,52,91,87,100,0
340,339,13,12,52,24,52,0
341,338,52,52,91,87,100,0
342,341,55,52,52,91,87,0
343,342,12,55,52,52,91,0
344,343,13,12,52,24,52,0
345,342,13,12,52,24,52,0
346,341,12,52,52,91,87,0
347,346,13,12,52,24,52,0
348,267,87,100,100,100,100,0
349,348,89,87,100,100,100,0
350,349,90,89,87,100,100,0
351,348,91,87,100,100,100,0
352,351,52,91,87,100,100,0
353,352,55,52,91,87,100,0
354,353,12,55,52,91,87,0
355,354,13,12,52,24,52,0
356,353,13,12,52,24,52,0
357,352,0,52,91,87,100,0
358,352,0,52,91,87,100,0
359,352,12,52,91,87,100,0
360,359,13,12,52,24,52,0
361,267,87,100,100,100,100,0
362,361,89,87,100,100,100,0
363,362,90,89,87,100,100,0
364,361,65,87,100,100,100,0
365,364,12,65,87,100,100,0
366,365,14,12,64,60,91,0
367,364,0,65,87,100,100,0
368,361,77,87,100,100,100,0
369,368,7,77,87,100,100,0
370,369,12,7,77,87,100,0
371,370,14,12,64,60,91,0
372,369,12,7,77,87,100,0
373,372,14,12,64,60,91,0
374,369,14,12,64,60,91,0
375,368,12,77,87,100,100,0
376,375,13,12,52,24,52,0
377,368,67,77,87,100,100,0
378,377,12,67,77,87,100,0
379,378,14,12,64,60,91,0
380,377,25,24,52,17,84,0
381,377,52,67,77,87,100,0
382,381,12,52,67,77,87,0
383,382,13,12,52,24,52,0
384,381,12,52,67,77,87,0
385,384,13,12,52,24,52,0
386,381,12,52,67,77,87,0
387,386,13,12,52,24,52,0
388,361,91,87,100,100,100,0
389,388,12,91,87,100,100,0
390,389,13,12,52,24,52,0
391,267,87,100,100,100,100,0
392,391,89,87,100,100,100,0
393,392,90,89,87,100,100,0
394,392,90,89,87,100,100,0
395,391,65,87,100,100,100,0
396,395,12,65,87,100,100,0
397,396,14,12,64,60,91,0
398,395,52,65,87,100,100,0
399,398,12,52,65,87,100,0
400,399,13,12,52,24,52,0
401,398,12,52,65,87,100,0
402,401,13,12,52,24,52,0
403,391,65,87,100,100,100,0
404,403,12,65,87,100,100,0
405,404,14,12,64,60,91,0
406,403,52,65,87,100,100,0
