node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
1947,-1,100,100,100,100,100,0
1948,1947,73,100,100,100,100,0
1949,1948,75,73,100,100,100,0
1950,1947,73,100,100,100,100,0
1951,1950,75,73,100,100,100,0
1952,1947,95,100,100,100,100,0
1953,1952,12,95,100,100,100,0
1954,1953,13,12,55,55,56,0
1955,1952,17,95,100,100,100,0
1956,1955,0,17,95,100,100,0
1957,1952,87,95,100,100,100,0
1958,1957,89,87,95,100,100,0
1959,1958,90,89,87,95,100,0
1960,1958,90,89,87,95,100,0
1961,1958,90,89,87,95,100,0
1962,1957,65,87,95,100,100,0
1963,1962,55,65,87,95,100,0
1964,1963,12,55,65,87,95,0
1965,1964,13,12,55,55,56,0
1966,1963,14,55,65,76,76,0
1967,1962,12,65,87,95,100,0
1968,1967,13,12,55,55,56,0
1969,1957,65,87,95,100,100,0
1970,1969,55,65,87,95,100,0
1971,1970,12,55,65,87,95,0
1972,1971,13,12,55,55,56,0
1973,1970,14,55,65,76,76,0
1974,1969,12,65,87,95,100,0
1975,1974,13,12,55,55,56,0
1976,1957,65,87,95,100,100,0
1977,1976,55,65,87,95,100,0
1978,1977,12,55,65,87,95,0
1979,1978,13,12,55,55,56,0
1980,1977,14,55,65,76,76,0
1981,1976,0,65,87,95,100,0
1982,1952,87,95,100,100,100,0
1983,1982,89,87,95,100,100,0
1984,1983,90,89,87,95,100,0
1985,1983,90,89,87,95,100,0
1986,1983,0,89,87,95,100,0
1987,1982,65,87,95,100,100,0
1988,1987,12,65,87,95,100,0
1989,1988,14,55,65,76,76,0
1990,1987,12,65,87,95,100,0
1991,1990,13,12,55,55,56,0
1992,1982,78,87,95,100,100,0
1993,1992,0,78,87,95,100,0
1994,1992,65,78,87,95,100,0
1995,1994,12,65,78,87,95,0
1996,1995,14,55,65,76,76,0
1997,1994,52,65,78,87,95,0
1998,1997,55,52,65,78,87,0
1999,1998,55,55,52,65,78,0
2000,1999,12,55,55,52,65,0
2001,2000,13,12,55,55,56,0
2002,1999,13,12,55,55,56,0
2003,1998,13,12,55,55,56,0
2004,1997,24,52,65,78,87,0
2005,2004,55,24,52,65,78,0
2006,2005,55,55,24,52,65,0
2007,2006,12,55,55,24,52,0
2008,2007,13,12,55,55,56,0
2009,2006,13,12,55,55,56,0
2010,2005,13,12,55,55,56,0
