node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
3318,-1,100,100,100,100,100,0
3319,3318,73,100,100,100,100,0
3320,3319,75,73,100,100,100,0
3321,3318,17,100,100,100,100,0
3322,3321,52,17,100,100,100,0
3323,3322,55,52,17,100,100,0
3324,3323,12,55,52,17,100,0
3325,3324,13,12,55,52,24,0
3326,3323,13,12,55,52,24,0
3327,3322,0,52,17,100,100,0
3328,3318,87,100,100,100,100,0
3329,3328,89,87,100,100,100,0
3330,3329,90,89,87,100,100,0
3331,3329,90,89,87,100,100,0
3332,3329,0,89,87,100,100,0
3333,3328,17,87,100,100,100,0
3334,3333,52,17,87,100,100,0
3335,3334,55,52,17,87,100,0
3336,3335,12,55,52,17,87,0
3337,3336,13,12,55,52,24,0
3338,3335,13,12,55,52,24,0
3339,3334,55,52,17,87,100,0
3340,3339,12,55,52,17,87,0
3341,3340,13,12,55,52,24,0
3342,3339,13,12,55,52,24,0
3343,3334,24,52,17,87,100,0
3344,3343,24,24,52,17,87,0
3345,3344,52,24,24,52,17,0
3346,3345,12,52,24,24,52,0
3347,3346,13,12,55,52,24,0
3348,3345,12,52,24,24,52,0
3349,3348,13,12,55,52,24,0
3350,3344,25,24,24,52,17,0
3351,3344,0,24,24,52,17,0
3352,3343,25,24,24,52,17,0
3353,3343,52,24,52,17,87,0
3354,3353,12,52,24,52,17,0
3355,3354,13,12,55,52,24,0
3356,3353,12,52,24,52,17,0
3357,3356,13,12,55,52,24,0
3358,3318,87,100,100,100,100,0
3359,3358,89,87,100,100,100,0
3360,3359,90,89,87,100,100,0
3361,3358,73,87,100,100,100,0
3362,3361,75,73,87,100,100,0
3363,3358,65,87,100,100,100,0
3364,3363,12,65,87,100,100,0
3365,3364,14,12,65,87,100,0
3366,3363,52,65,87,100,100,0
3367,3366,55,52,65,87,100,0
3368,3367,12,55,52,65,87,0
3369,3368,13,12,55,52,24,0
3370,3367,13,12,55,52,24,0
3371,3366,53,52,65,87,100,0
3372,3371,0,53,52,65,87,0
3373,3358,17,87,100,100,100,0
3374,3373,52,17,87,100,100,0
3375,3374,55,52,17,87,100,0
3376,3375,12,55,52,17,87,0
3377,3376,13,12,55,52,24,0
3378,3375,13,12,55,52,24,0
3379,3374,55,52,17,87,100,0
3380,3379,12,55,52,17,87,0
3381,3380,13,12,55,52,24,0
3382,3379,13,12,55,52,24,0
3383,3374,24,52,17,87,100,0
3384,3383,24,24,52,17,87,0
3385,3384,52,24,24,52,17,0
3386,3385,12,52,24,24,52,0
3387,3386,13,12,55,52,24,0
3388,3385,12,52,24,24,52,0
3389,3388,13,12,55,52,24,0
3390,3384,25,24,24,52,17,0
3391,3384,0,24,24,52,17,0
3392,3383,25,24,24,52,17,0
3393,3383,52,24,52,17,87,0
3394,3393,55,52,24,52,17,0
3395,3394,12,55,52,24,52,0
3396,3395,13,12,55,52,24,0
3397,3394,13,12,55,52,24,0
3398,3393,12,52,24,52,17,0
3399,3398,13,12,55,52,24,0
3400,3358,91,87,100,100,100,0
3401,3400,12,91,87,100,100,0
3402,3401,13,12,55,52,24,0
