node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
67372,-1,100,100,100,100,100,0
67373,67372,17,100,100,100,100,0
67374,67373,0,17,100,100,100,0
67375,67372,73,100,100,100,100,0
67376,67375,75,73,100,100,100,0
67377,67372,73,100,100,100,100,0
67378,67377,75,73,100,100,100,0
67379,67372,74,100,100,100,100,0
67380,67379,75,74,100,100,100,0
67381,67372,74,100,100,100,100,0
67382,67381,75,74,100,100,100,0
67383,67372,74,100,100,100,100,0
67384,67383,75,74,100,100,100,0
67385,67372,65,100,100,100,100,0
67386,67385,12,65,100,100,100,0
67387,67386,14,12,65,76,76,0
67388,67385,52,65,100,100,100,0
67389,67388,55,52,65,100,100,0
67390,67389,12,55,52,65,100,0
67391,67390,13,12,55,56,55,0
67392,67389,13,12,55,56,55,0
67393,67388,12,52,65,100,100,0
67394,67393,13,12,55,56,55,0
67395,67372,95,100,100,100,100,0
67396,67395,55,95,100,100,100,0
67397,67396,12,55,95,100,100,0
67398,67397,13,12,55,56,55,0
67399,67396,13,12,55,56,55,0
67400,67395,17,95,100,100,100,0
67401,67400,0,17,95,100,100,0
67402,67395,87,95,100,100,100,0
67403,67402,89,87,95,100,100,0
67404,67403,90,89,87,95,100,0
67405,67403,90,89,87,95,100,0
67406,67403,90,89,87,95,100,0
67407,67403,90,89,87,95,100,0
67408,67402,17,87,95,100,100,0
67409,67408,52,17,87,95,100,0
67410,67409,55,52,17,87,95,0
67411,67410,12,55,52,17,87,0
67412,67411,13,12,55,56,55,0
67413,67410,13,12,55,56,55,0
67414,67409,0,52,17,87,95,0
67415,67409,55,52,17,87,95,0
67416,67415,55,55,52,17,87,0
67417,67416,12,55,55,52,17,0
67418,67417,13,12,55,56,55,0
67419,67416,13,12,55,56,55,0
67420,67415,13,12,55,56,55,0
67421,67409,12,52,17,87,95,0
67422,67421,13,12,55,56,55,0
67423,67409,12,52,17,87,95,0
67424,67423,13,12,55,56,55,0
67425,67402,17,87,95,100,100,0
67426,67425,52,17,87,95,100,0
67427,67426,55,52,17,87,95,0
67428,67427,55,55,52,17,87,0
67429,67428,12,55,55,52,17,0
67430,67429,13,12,55,56,55,0
67431,67428,13,12,55,56,55,0
67432,67427,13,12,55,56,55,0
67433,67426,12,52,17,87,95,0
67434,67433,13,12,55,56,55,0
67435,67426,12,52,17,87,95,0
67436,67435,13,12,55,56,55,0
67437,67402,65,87,95,100,100,0
67438,67437,55,65,87,95,100,0
67439,67438,12,55,65,87,95,0
67440,67439,13,12,55,56,55,0
67441,67438,14,12,65,76,76,0
67442,67437,12,65,87,95,100,0
67443,67442,13,12,55,56,55,0
67444,67402,65,87,95,100,100,0
67445,67444,55,65,87,95,100,0
67446,67445,12,55,65,87,95,0
67447,67446,13,12,55,56,55,0
67448,67445,14,12,65,76,76,0
67449,67444,55,65,87,95,100,0
67450,67449,12,55,65,87,95,0
67451,67450,13,12,55,56,55,0
67452,67449,13,12,55,56,55,0
67453,67402,65,87,95,100,100,0
67454,67453,55,65,87,95,100,0
67455,67454,12,55,65,87,95,0
67456,67455,13,12,55,56,55,0
67457,67454,14,12,65,76,76,0
67458,67453,12,65,87,95,100,0
67459,67458,13,12,55,56,55,0
67460,67402,65,87,95,100,100,0
67461,67460,55,65,87,95,100,0
67462,67461,12,55,65,87,95,0
67463,67462,13,12,55,56,55,0
67464,67461,14,12,65,76,76,0
67465,67460,12,65,87,95,100,0
67466,67465,13,12,55,56,55,0
67467,67402,65,87,95,100,100,0
67468,67467,55,65,87,95,100,0
67469,67468,12,55,65,87,95,0
67470,67469,13,12,55,56,55,0
67471,67468,14,12,65,76,76,0
67472,67467,9,65,87,95,100,0
67473,67472,0,9,65,87,95,0
67474,67472,52,9,65,87,95,0
67475,67474,55,52,9,65,87,0
67476,67475,12,55,52,9,65,0
67477,67476,13,12,55,56,55,0
67478,67475,13,12,55,56,55,0
67479,67402,17,87,95,100,100,0
67480,67479,52,17,87,95,100,0
67481,67480,55,52,17,87,95,0
67482,67481,12,55,52,17,87,0
67483,67482,13,12,55,56,55,0
67484,67481,13,12,55,56,55,0
67485,67480,52,52,17,87,95,0
67486,67485,55,52,52,17,87,0
67487,67486,12,55,52,52,17,0
67488,67487,13,12,55,56,55,0
67489,67486,13,12,55,56,55,0
67490,67402,65,87,95,100,100,0
67491,67490,55,65,87,95,100,0
67492,67491,12,55,65,87,95,0
67493,67492,13,12,55,56,55,0
67494,67491,14,12,65,76,76,0
67495,67490,52,65,87,95,100,0
67496,67495,55,52,65,87,95,0
67497,67496,12,55,52,65,87,0
67498,67497,13,12,55,56,55,0
67499,67496,13,12,55,56,55,0
67500,67402,65,87,95,100,100,0
67501,67500,55,65,87,95,100,0
67502,67501,12,55,65,87,95,0
67503,67502,13,12,55,56,55,0
67504,67501,14,12,65,76,76,0
67505,67500,52,65,87,95,100,0
67506,67505,55,52,65,87,95,0
67507,67506,12,55,52,65,87,0
67508,67507,13,12,55,56,55,0
67509,67506,13,12,55,56,55,0
67510,67402,17,87,95,100,100,0
67511,67510,52,17,87,95,100,0
67512,67511,55,52,17,87,95,0
67513,67512,12,55,52,17,87,0
67514,67513,13,12,55,56,55,0
67515,67512,13,12,55,56,55,0
67516,67402,17,87,95,100,100,0
67517,67516,52,17,87,95,100,0
67518,67517,55,52,17,87,95,0
67519,67518,12,55,52,17,87,0
67520,67519,13,12,55,56,55,0
67521,67518,13,12,55,56,55,0
67522,67402,17,87,95,100,100,0
