node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
12107,-1,100,100,100,100,100,0
12108,12107,17,100,100,100,100,0
12109,12108,0,17,100,100,100,0
12110,12107,73,100,100,100,100,0
12111,12110,75,73,100,100,100,0
12112,12107,73,100,100,100,100,0
12113,12112,75,73,100,100,100,0
12114,12107,73,100,100,100,100,0
12115,12114,75,73,100,100,100,0
12116,12107,73,100,100,100,100,0
12117,12116,75,73,100,100,100,0
12118,12107,73,100,100,100,100,0
12119,12118,75,73,100,100,100,0
12120,12107,74,100,100,100,100,0
12121,12120,75,74,100,100,100,0
12122,12107,74,100,100,100,100,0
12123,12122,75,74,100,100,100,0
12124,12107,74,100,100,100,100,0
12125,12124,75,74,100,100,100,0
12126,12107,73,100,100,100,100,0
12127,12126,75,73,100,100,100,0
12128,12107,73,100,100,100,100,0
12129,12128,75,73,100,100,100,0
12130,12107,73,100,100,100,100,0
12131,12130,75,73,100,100,100,0
12132,12107,73,100,100,100,100,0
12133,12132,75,73,100,100,100,0
12134,12107,74,100,100,100,100,0
12135,12134,75,74,100,100,100,0
12136,12107,74,100,100,100,100,0
12137,12136,75,74,100,100,100,0
12138,12107,74,100,100,100,100,0
12139,12138,75,74,100,100,100,0
12140,12138,75,74,100,100,100,0
12141,12107,74,100,100,100,100,0
12142,12141,75,74,100,100,100,0
12143,12141,75,74,100,100,100,0
12144,12141,75,74,100,100,100,0
12145,12141,75,74,100,100,100,0
12146,12107,65,100,100,100,100,0
12147,12146,12,65,100,100,100,0
12148,12147,14,12,64,62,52,0
12149,12146,52,65,100,100,100,0
12150,12149,55,52,65,100,100,0
12151,12150,12,55,52,65,100,0
12152,12151,13,12,58,56,55,0
12153,12150,13,12,58,56,55,0
12154,12149,12,52,65,100,100,0
12155,12154,13,12,58,56,55,0
12156,12107,95,100,100,100,100,0
12157,12156,55,95,100,100,100,0
12158,12157,55,55,95,100,100,0
12159,12158,55,55,55,95,100,0
12160,12159,55,55,55,55,95,0
12161,12160,12,55,55,55,55,0
12162,12161,13,12,58,56,55,0
12163,12160,13,12,58,56,55,0
12164,12159,13,12,58,56,55,0
12165,12158,13,12,58,56,55,0
12166,12157,13,12,58,56,55,0
12167,12156,17,95,100,100,100,0
12168,12167,0,17,95,100,100,0
12169,12156,87,95,100,100,100,0
12170,12169,89,87,95,100,100,0
12171,12170,90,89,87,95,100,0
12172,12170,90,89,87,95,100,0
12173,12170,90,89,87,95,100,0
12174,12169,17,87,95,100,100,0
12175,12174,52,17,87,95,100,0
12176,12175,55,52,17,87,95,0
12177,12176,52,55,52,17,87,0
12178,12177,12,52,55,52,17,0
12179,12178,13,12,58,56,55,0
12180,12176,13,12,58,56,55,0
12181,12175,12,52,17,87,95,0
12182,12181,13,12,58,56,55,0
12183,12175,12,52,17,87,95,0
12184,12183,13,12,58,56,55,0
12185,12169,65,87,95,100,100,0
12186,12185,55,65,87,95,100,0
12187,12186,12,55,65,87,95,0
12188,12187,13,12,58,56,55,0
12189,12186,14,12,64,62,52,0
12190,12185,0,65,87,95,100,0
12191,12169,65,87,95,100,100,0
12192,12191,55,65,87,95,100,0
12193,12192,12,55,65,87,95,0
12194,12193,13,12,58,56,55,0
12195,12192,14,12,64,62,52,0
12196,12191,0,65,87,95,100,0
12197,12169,65,87,95,100,100,0
12198,12197,55,65,87,95,100,0
12199,12198,12,55,65,87,95,0
12200,12199,13,12,58,56,55,0
12201,12198,14,12,64,62,52,0
12202,12197,0,65,87,95,100,0
12203,12156,87,95,100,100,100,0
12204,12203,89,87,95,100,100,0
12205,12204,90,89,87,95,100,0
12206,12204,90,89,87,95,100,0
12207,12204,90,89,87,95,100,0
12208,12204,0,89,87,95,100,0
12209,12204,0,89,87,95,100,0
12210,12203,17,87,95,100,100,0
12211,12210,0,17,87,95,100,0
12212,12203,76,87,95,100,100,0
12213,12212,38,76,87,95,100,0
12214,12213,39,38,38,76,77,0
12215,12213,41,38,76,87,95,0
12216,12215,12,41,38,76,87,0
12217,12216,13,12,58,56,55,0
12218,12215,49,41,38,76,78,0
12219,12215,0,41,38,76,87,0
12220,12213,41,38,76,87,95,0
12221,12220,12,41,38,76,87,0
12222,12221,13,12,58,56,55,0
12223,12220,49,41,38,76,78,0
12224,12220,0,41,38,76,87,0
12225,12212,17,76,87,95,100,0
12226,12225,52,17,76,87,95,0
12227,12226,55,52,17,76,87,0
12228,12227,12,55,52,17,76,0
12229,12228,13,12,58,56,55,0
12230,12227,13,12,58,56,55,0
12231,12226,0,52,17,76,87,0
12232,12212,65,76,87,95,100,0
12233,12232,55,65,76,87,95,0
12234,12233,12,55,65,76,87,0
12235,12234,13,12,58,56,55,0
12236,12233,14,12,64,62,52,0
12237,12232,12,65,76,87,95,0
12238,12237,13,12,58,56,55,0
12239,12212,65,76,87,95,100,0
12240,12239,55,65,76,87,95,0
12241,12240,12,55,65,76,87,0
12242,12241,13,12,58,56,55,0
12243,12240,14,12,64,62,52,0
12244,12239,12,65,76,87,95,0
12245,12244,13,12,58,56,55,0
12246,12212,91,76,87,95,100,0
12247,12246,7,91,76,87,95,0
12248,12247,52,7,91,76,87,0
12249,12248,12,52,7,91,76,0
12250,12249,13,12,58,56,55,0
12251,12248,12,52,7,91,76,0
12252,12251,13,12,58,56,55,0
12253,12247,52,7,91,76,87,0
12254,12253,12,52,7,91,76,0
12255,12254,13,12,58,56,55,0
12256,12253,53,52,7,91,76,0
12257,12256,55,53,52,7,91,0
12258,12257,12,55,53,52,7,0
12259,12258,13,12,58,56,55,0
12260,12257,13,12,58,56,55,0
12261,12253,53,52,7,91,76,0
12262,12261,55,53,52,7,91,0
12263,12262,12,55,53,52,7,0
12264,12263,13,12,58,56,55,0
12265,12262,13,12,58,56,55,0
12266,12247,13,12,58,56,55,0
12267,12203,70,87,95,100,100,0
12268,12267,52,70,87,95,100,0
12269,12268,12,52,70,87,95,0
12270,12269,13,12,58,56,55,0
12271,12268,55,52,70,87,95,0
12272,12271,12,55,52,70,87,0
12273,12272,13,12,58,56,55,0
12274,12271,13,12,58,56,55,0
12275,12268,12,52,70,87,95,0
12276,12275,13,12,58,56,55,0
12277,12267,0,70,87,95,100,0
12278,12203,65,87,95,100,100,0
12279,12278,12,65,87,95,100,0
12280,12279,14,12,64,62,52,0
12281,12278,6,65,87,95,100,0
12282,12281,52,6,65,87,95,0
12283,12282,55,52,6,65,87,0
12284,12283,12,55,52,6,65,0
12285,12284,13,12,58,56,55,0
12286,12283,13,12,58,56,55,0
12287,12281,0,6,65,87,95,0
12288,12281,0,6,65,87,95,0
12289,12281,0,6,65,87,95,0
12290,12281,55,6,65,87,95,0
12291,12290,12,55,6,65,87,0
12292,12291,13,12,58,56,55,0
12293,12290,13,12,58,56,55,0
12294,12281,0,6,65,87,95,0
12295,12281,0,6,65,87,95,0
12296,12281,0,6,65,87,95,0
12297,12281,0,6,65,87,95,0
12298,12281,0,6,65,87,95,0
12299,12281,0,6,65,87,95,0
12300,12281,0,6,65,87,95,0
12301,12281,0,6,65,87,95,0
12302,12281,13,12,58,56,55,0
12303,12203,17,87,95,100,100,0
12304,12303,52,17,87,95,100,0
12305,12304,55,52,17,87,95,0
12306,12305,12,55,52,17,87,0
12307,12306,13,12,58,56,55,0
12308,12305,13,12,58,56,55,0
12309,12304,0,52,17,87,95,0
12310,12304,52,52,17,87,95,0
12311,12310,55,52,52,17,87,0
12312,12311,0,55,52,52,17,0
12313,12311,13,12,58,56,55,0
12314,12310,12,52,52,17,87,0
12315,12314,13,12,58,56,55,0
12316,12203,65,87,95,100,100,0
12317,12316,12,65,87,95,100,0
12318,12317,14,12,64,62,52,0
12319,12316,52,65,87,95,100,0
12320,12319,55,52,65,87,95,0
12321,12320,12,55,52,65,87,0
12322,12321,13,12,58,56,55,0
12323,12320,13,12,58,56,55,0
12324,12319,12,52,65,87,95,0
12325,12324,13,12,58,56,55,0
12326,12319,53,52,65,87,95,0
12327,12326,55,53,52,65,87,0
12328,12327,12,55,53,52,65,0
12329,12328,13,12,58,56,55,0
12330,12327,13,12,58,56,55,0
12331,12319,53,52,65,87,95,0
12332,12331,55,53,52,65,87,0
12333,12332,12,55,53,52,65,0
12334,12333,13,12,58,56,55,0
12335,12332,13,12,58,56,55,0
12336,12319,53,52,65,87,95,0
12337,12336,0,53,52,65,87,0
12338,12203,65,87,95,100,100,0
12339,12338,12,65,87,95,100,0
12340,12339,14,12,64,62,52,0
12341,12338,6,65,87,95,100,0
12342,12341,13,12,58,56,55,0
12343,12203,65,87,95,100,100,0
12344,12343,12,65,87,95,100,0
12345,12344,14,12,64,62,52,0
12346,12343,6,65,87,95,100,0
12347,12346,13,12,58,56,55,0
12348,12203,65,87,95,100,100,0
12349,12348,12,65,87,95,100,0
12350,12349,14,12,64,62,52,0
12351,12348,0,65,87,95,100,0
12352,12203,65,87,95,100,100,0
12353,12352,12,65,87,95,100,0
12354,12353,14,12,64,62,52,0
12355,12352,52,65,87,95,100,0
12356,12355,12,52,65,87,95,0
12357,12356,13,12,58,56,55,0
12358,12355,53,52,65,87,95,0
12359,12358,0,53,52,65,87,0
12360,12355,53,52,65,87,95,0
12361,12360,0,53,52,65,87,0
12362,12355,53,52,65,87,95,0
12363,12362,52,53,52,65,87,0
12364,12363,12,52,53,52,65,0
12365,12364,13,12,58,56,55,0
12366,12363,56,52,53,52,65,0
12367,12366,55,56,52,53,52,0
12368,12367,12,55,56,52,53,0
12369,12368,13,12,58,56,55,0
12370,12367,13,12,58,56,55,0
12371,12366,57,56,52,53,52,0
