node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
6160,-1,100,100,100,100,100,0
6161,6160,65,100,100,100,100,0
6162,6161,12,65,100,100,100,0
6163,6162,14,12,65,100,100,0
6164,6161,0,65,100,100,100,0
6165,6160,65,100,100,100,100,0
6166,6165,12,65,100,100,100,0
6167,6166,14,12,65,100,100,0
6168,6165,0,65,100,100,100,0
6169,6160,65,100,100,100,100,0
6170,6169,12,65,100,100,100,0
6171,6170,14,12,65,100,100,0
6172,6169,0,65,100,100,100,0
