node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
190444,-1,100,100,100,100,100,0
190445,190444,17,100,100,100,100,0
190446,190445,0,17,100,100,100,0
190447,190444,73,100,100,100,100,0
190448,190447,75,73,100,100,100,0
190449,190444,73,100,100,100,100,0
190450,190449,75,73,100,100,100,0
190451,190444,73,100,100,100,100,0
190452,190451,75,73,100,100,100,0
190453,190444,74,100,100,100,100,0
190454,190453,75,74,100,100,100,0
190455,190444,73,100,100,100,100,0
190456,190455,75,73,100,100,100,0
190457,190444,73,100,100,100,100,0
190458,190457,75,73,100,100,100,0
190459,190444,74,100,100,100,100,0
190460,190459,75,74,100,100,100,0
190461,190444,74,100,100,100,100,0
190462,190461,75,74,100,100,100,0
190463,190444,74,100,100,100,100,0
190464,190463,75,74,100,100,100,0
190465,190444,74,100,100,100,100,0
190466,190465,75,74,100,100,100,0
190467,190465,75,74,100,100,100,0
190468,190444,74,100,100,100,100,0
190469,190468,75,74,100,100,100,0
190470,190444,74,100,100,100,100,0
190471,190470,75,74,100,100,100,0
190472,190444,74,100,100,100,100,0
190473,190472,75,74,100,100,100,0
190474,190472,75,74,100,100,100,0
190475,190444,74,100,100,100,100,0
190476,190475,75,74,100,100,100,0
190477,190475,75,74,100,100,100,0
190478,190475,75,74,100,100,100,0
190479,190444,65,100,100,100,100,0
190480,190479,12,65,100,100,100,0
190481,190480,14,12,67,76,77,0
190482,190479,52,65,100,100,100,0
190483,190482,55,52,65,100,100,0
190484,190483,12,55,52,65,100,0
190485,190484,13,12,55,55,55,0
190486,190483,13,12,55,55,55,0
190487,190482,12,52,65,100,100,0
190488,190487,13,12,55,55,55,0
190489,190444,95,100,100,100,100,0
190490,190489,17,95,100,100,100,0
190491,190490,0,17,95,100,100,0
190492,190489,87,95,100,100,100,0
190493,190492,89,87,95,100,100,0
190494,190493,90,89,87,95,100,0
190495,190493,90,89,87,95,100,0
190496,190493,90,89,87,95,100,0
190497,190492,17,87,95,100,100,0
190498,190497,52,17,87,95,100,0
190499,190498,55,52,17,87,95,0
190500,190499,12,55,52,17,87,0
190501,190500,13,12,55,55,55,0
190502,190499,13,12,55,55,55,0
190503,190498,0,52,17,87,95,0
190504,190498,55,52,17,87,95,0
190505,190504,55,55,52,17,87,0
190506,190505,12,55,55,52,17,0
190507,190506,13,12,55,55,55,0
190508,190505,13,12,55,55,55,0
190509,190504,13,12,55,55,55,0
190510,190498,12,52,17,87,95,0
190511,190510,13,12,55,55,55,0
190512,190492,65,87,95,100,100,0
190513,190512,55,65,87,95,100,0
190514,190513,12,55,65,87,95,0
190515,190514,13,12,55,55,55,0
190516,190513,14,12,67,76,77,0
190517,190512,12,65,87,95,100,0
190518,190517,13,12,55,55,55,0
190519,190492,65,87,95,100,100,0
190520,190519,55,65,87,95,100,0
190521,190520,12,55,65,87,95,0
190522,190521,13,12,55,55,55,0
190523,190520,14,12,67,76,77,0
190524,190519,55,65,87,95,100,0
190525,190524,12,55,65,87,95,0
190526,190525,13,12,55,55,55,0
190527,190524,13,12,55,55,55,0
190528,190492,65,87,95,100,100,0
190529,190528,55,65,87,95,100,0
190530,190529,12,55,65,87,95,0
190531,190530,13,12,55,55,55,0
190532,190529,14,12,67,76,77,0
190533,190528,0,65,87,95,100,0
190534,190492,65,87,95,100,100,0
190535,190534,55,65,87,95,100,0
190536,190535,12,55,65,87,95,0
190537,190536,13,12,55,55,55,0
190538,190535,14,12,67,76,77,0
190539,190534,0,65,87,95,100,0
190540,190492,65,87,95,100,100,0
190541,190540,55,65,87,95,100,0
190542,190541,12,55,65,87,95,0
190543,190542,13,12,55,55,55,0
190544,190541,14,12,67,76,77,0
190545,190540,55,65,87,95,100,0
190546,190545,12,55,65,87,95,0
190547,190546,13,12,55,55,55,0
190548,190545,13,12,55,55,55,0
190549,190492,65,87,95,100,100,0
190550,190549,55,65,87,95,100,0
190551,190550,12,55,65,87,95,0
