node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
6173,-1,100,100,100,100,100,0
6174,6173,73,100,100,100,100,0
6175,6174,75,73,100,100,100,0
6176,6174,75,73,100,100,100,0
6177,6173,73,100,100,100,100,0
6178,6177,75,73,100,100,100,0
6179,6173,65,100,100,100,100,0
6180,6179,12,65,100,100,100,0
6181,6180,14,12,65,76,76,0
6182,6179,9,65,100,100,100,0
6183,6182,55,9,65,100,100,0
6184,6183,12,55,9,65,100,0
6185,6184,13,12,55,55,52,0
6186,6183,13,12,55,55,52,0
6187,6182,55,9,65,100,100,0
6188,6187,12,55,9,65,100,0
6189,6188,13,12,55,55,52,0
6190,6187,13,12,55,55,52,0
6191,6182,55,9,65,100,100,0
6192,6191,12,55,9,65,100,0
6193,6192,13,12,55,55,52,0
6194,6191,13,12,55,55,52,0
6195,6182,55,9,65,100,100,0
6196,6195,12,55,9,65,100,0
6197,6196,13,12,55,55,52,0
6198,6195,13,12,55,55,52,0
6199,6182,55,9,65,100,100,0
6200,6199,12,55,9,65,100,0
6201,6200,13,12,55,55,52,0
6202,6199,13,12,55,55,52,0
6203,6182,55,9,65,100,100,0
6204,6203,12,55,9,65,100,0
6205,6204,13,12,55,55,52,0
6206,6203,13,12,55,55,52,0
6207,6182,55,9,65,100,100,0
6208,6207,12,55,9,65,100,0
6209,6208,13,12,55,55,52,0
6210,6207,13,12,55,55,52,0
6211,6182,55,9,65,100,100,0
6212,6211,12,55,9,65,100,0
6213,6212,13,12,55,55,52,0
6214,6211,13,12,55,55,52,0
6215,6182,55,9,65,100,100,0
6216,6215,12,55,9,65,100,0
6217,6216,13,12,55,55,52,0
6218,6215,13,12,55,55,52,0
6219,6182,55,9,65,100,100,0
6220,6219,12,55,9,65,100,0
6221,6220,13,12,55,55,52,0
6222,6219,13,12,55,55,52,0
6223,6182,55,9,65,100,100,0
6224,6223,12,55,9,65,100,0
6225,6224,13,12,55,55,52,0
6226,6223,13,12,55,55,52,0
6227,6182,55,9,65,100,100,0
6228,6227,12,55,9,65,100,0
6229,6228,13,12,55,55,52,0
6230,6227,13,12,55,55,52,0
6231,6182,55,9,65,100,100,0
6232,6231,12,55,9,65,100,0
6233,6232,13,12,55,55,52,0
6234,6231,13,12,55,55,52,0
6235,6182,55,9,65,100,100,0
6236,6235,12,55,9,65,100,0
6237,6236,13,12,55,55,52,0
6238,6235,13,12,55,55,52,0
6239,6182,55,9,65,100,100,0
6240,6239,12,55,9,65,100,0
6241,6240,13,12,55,55,52,0
6242,6239,13,12,55,55,52,0
6243,6182,55,9,65,100,100,0
6244,6243,12,55,9,65,100,0
6245,6244,13,12,55,55,52,0
6246,6243,13,12,55,55,52,0
6247,6182,55,9,65,100,100,0
6248,6247,12,55,9,65,100,0
6249,6248,13,12,55,55,52,0
