node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
198156,-1,100,100,100,100,100,0
198157,198156,17,100,100,100,100,0
198158,198157,0,17,100,100,100,0
198159,198156,73,100,100,100,100,0
198160,198159,75,73,100,100,100,0
198161,198156,73,100,100,100,100,0
198162,198161,75,73,100,100,100,0
198163,198156,73,100,100,100,100,0
198164,198163,75,73,100,100,100,0
198165,198156,73,100,100,100,100,0
198166,198165,75,73,100,100,100,0
198167,198156,74,100,100,100,100,0
198168,198167,75,74,100,100,100,0
198169,198156,74,100,100,100,100,0
198170,198169,75,74,100,100,100,0
198171,198169,75,74,100,100,100,0
198172,198156,74,100,100,100,100,0
198173,198172,75,74,100,100,100,0
198174,198172,75,74,100,100,100,0
198175,198172,75,74,100,100,100,0
198176,198172,75,74,100,100,100,0
198177,198172,75,74,100,100,100,0
198178,198172,75,74,100,100,100,0
198179,198156,74,100,100,100,100,0
198180,198179,75,74,100,100,100,0
198181,198179,75,74,100,100,100,0
198182,198156,65,100,100,100,100,0
198183,198182,12,65,100,100,100,0
198184,198183,14,12,65,76,77,0
198185,198182,52,65,100,100,100,0
198186,198185,55,52,65,100,100,0
198187,198186,12,55,52,65,100,0
198188,198187,13,12,55,55,52,0
198189,198186,13,12,55,55,52,0
198190,198185,12,52,65,100,100,0
198191,198190,13,12,55,55,52,0
198192,198156,95,100,100,100,100,0
198193,198192,12,95,100,100,100,0
198194,198193,13,12,55,55,52,0
198195,198192,17,95,100,100,100,0
198196,198195,0,17,95,100,100,0
198197,198192,87,95,100,100,100,0
198198,198197,89,87,95,100,100,0
198199,198198,90,89,87,95,100,0
198200,198198,90,89,87,95,100,0
198201,198197,17,87,95,100,100,0
198202,198201,52,17,87,95,100,0
198203,198202,55,52,17,87,95,0
198204,198203,12,55,52,17,87,0
198205,198204,13,12,55,55,52,0
198206,198203,13,12,55,55,52,0
198207,198202,0,52,17,87,95,0
198208,198202,55,52,17,87,95,0
198209,198208,55,55,52,17,87,0
198210,198209,12,55,55,52,17,0
198211,198210,13,12,55,55,52,0
198212,198209,13,12,55,55,52,0
198213,198208,13,12,55,55,52,0
198214,198202,12,52,17,87,95,0
198215,198214,13,12,55,55,52,0
198216,198197,17,87,95,100,100,0
198217,198216,52,17,87,95,100,0
198218,198217,55,52,17,87,95,0
198219,198218,12,55,52,17,87,0
198220,198219,13,12,55,55,52,0
198221,198218,13,12,55,55,52,0
198222,198217,0,52,17,87,95,0
198223,198197,65,87,95,100,100,0
198224,198223,7,65,87,95,100,0
198225,198224,12,7,65,87,95,0
198226,198225,14,12,65,76,77,0
198227,198224,12,7,65,87,95,0
198228,198227,14,12,65,76,77,0
198229,198224,14,12,65,76,77,0
198230,198223,52,65,87,95,100,0
198231,198230,55,52,65,87,95,0
198232,198231,12,55,52,65,87,0
198233,198232,13,12,55,55,52,0
198234,198231,13,12,55,55,52,0
198235,198230,12,52,65,87,95,0
198236,198235,13,12,55,55,52,0
198237,198197,17,87,95,100,100,0
198238,198237,52,17,87,95,100,0
198239,198238,55,52,17,87,95,0
198240,198239,52,55,52,17,87,0
198241,198240,12,52,55,52,17,0
198242,198241,13,12,55,55,52,0
198243,198239,13,12,55,55,52,0
198244,198238,12,52,17,87,95,0
198245,198244,13,12,55,55,52,0
198246,198238,53,52,17,87,95,0
198247,198246,12,53,52,17,87,0
198248,198247,13,12,55,55,52,0
198249,198197,17,87,95,100,100,0
198250,198249,52,17,87,95,100,0
198251,198250,55,52,17,87,95,0
198252,198251,12,55,52,17,87,0
198253,198252,13,12,55,55,52,0
198254,198251,13,12,55,55,52,0
198255,198250,0,52,17,87,95,0
198256,198250,55,52,17,87,95,0
198257,198256,12,55,52,17,87,0
198258,198257,13,12,55,55,52,0
198259,198256,13,12,55,55,52,0
198260,198197,17,87,95,100,100,0
198261,198260,52,17,87,95,100,0
198262,198261,55,52,17,87,95,0
198263,198262,12,55,52,17,87,0
198264,198263,13,12,55,55,52,0
198265,198262,13,12,55,55,52,0
198266,198261,0,52,17,87,95,0
198267,198261,55,52,17,87,95,0
198268,198267,55,55,52,17,87,0
198269,198268,12,55,55,52,17,0
198270,198269,13,12,55,55,52,0
198271,198268,13,12,55,55,52,0
198272,198267,13,12,55,55,52,0
198273,198192,87,95,100,100,100,0
198274,198273,89,87,95,100,100,0
198275,198274,90,89,87,95,100,0
198276,198273,17,87,95,100,100,0
198277,198276,0,17,87,95,100,0
198278,198273,65,87,95,100,100,0
198279,198278,7,65,87,95,100,0
198280,198279,12,7,65,87,95,0
198281,198280,14,12,65,76,77,0
198282,198279,12,7,65,87,95,0
198283,198282,14,12,65,76,77,0
198284,198279,14,12,65,76,77,0
198285,198278,52,65,87,95,100,0
198286,198285,55,52,65,87,95,0
198287,198286,55,55,52,65,87,0
198288,198287,12,55,55,52,65,0
198289,198288,13,12,55,55,52,0
198290,198287,13,12,55,55,52,0
198291,198286,13,12,55,55,52,0
198292,198285,12,52,65,87,95,0
198293,198292,13,12,55,55,52,0
198294,198273,76,87,95,100,100,0
198295,198294,19,76,87,95,100,0
198296,198295,22,19,76,77,87,0
198297,198295,52,19,76,87,95,0
198298,198297,55,52,19,76,87,0
198299,198298,55,55,52,19,76,0
198300,198299,12,55,55,52,19,0
198301,198300,13,12,55,55,52,0
198302,198299,13,12,55,55,52,0
198303,198298,13,12,55,55,52,0
198304,198297,12,52,19,76,87,0
198305,198304,13,12,55,55,52,0
198306,198294,17,76,87,95,100,0
198307,198306,52,17,76,87,95,0
198308,198307,55,52,17,76,87,0
198309,198308,12,55,52,17,76,0
198310,198309,13,12,55,55,52,0
198311,198308,13,12,55,55,52,0
198312,198307,0,52,17,76,87,0
198313,198307,12,52,17,76,87,0
198314,198313,13,12,55,55,52,0
198315,198294,17,76,87,95,100,0
198316,198315,52,17,76,87,95,0
198317,198316,55,52,17,76,87,0
198318,198317,12,55,52,17,76,0
198319,198318,13,12,55,55,52,0
198320,198317,13,12,55,55,52,0
198321,198316,0,52,17,76,87,0
198322,198273,76,87,95,100,100,0
198323,198322,12,76,87,95,100,0
198324,198323,13,12,55,55,52,0
198325,198322,17,76,87,95,100,0
198326,198325,52,17,76,87,95,0
198327,198326,55,52,17,76,87,0
198328,198327,12,55,52,17,76,0
198329,198328,13,12,55,55,52,0
198330,198327,13,12,55,55,52,0
198331,198326,0,52,17,76,87,0
198332,198326,12,52,17,76,87,0
198333,198332,13,12,55,55,52,0
198334,198273,91,87,95,100,100,0
198335,198334,7,91,87,95,100,0
198336,198335,12,7,91,87,95,0
198337,198336,13,12,55,55,52,0
198338,198335,12,7,91,87,95,0
198339,198338,13,12,55,55,52,0
198340,198335,13,12,55,55,52,0
198341,198273,12,87,95,100,100,0
198342,198341,13,12,55,55,52,0
198343,198192,87,95,100,100,100,0
198344,198343,89,87,95,100,100,0
198345,198344,90,89,87,95,100,0
198346,198343,17,87,95,100,100,0
198347,198346,0,17,87,95,100,0
198348,198343,17,87,95,100,100,0
198349,198348,52,17,87,95,100,0
198350,198349,55,52,17,87,95,0
198351,198350,12,55,52,17,87,0
198352,198351,13,12,55,55,52,0
198353,198350,13,12,55,55,52,0
198354,198343,17,87,95,100,100,0
198355,198354,52,17,87,95,100,0
198356,198355,55,52,17,87,95,0
198357,198356,52,55,52,17,87,0
198358,198357,12,52,55,52,17,0
198359,198358,13,12,55,55,52,0
198360,198356,13,12,55,55,52,0
198361,198192,87,95,100,100,100,0
198362,198361,89,87,95,100,100,0
198363,198362,90,89,87,95,100,0
198364,198361,17,87,95,100,100,0
198365,198364,0,17,87,95,100,0
198366,198361,17,87,95,100,100,0
198367,198366,52,17,87,95,100,0
198368,198367,55,52,17,87,95,0
198369,198368,12,55,52,17,87,0
198370,198369,13,12,55,55,52,0
198371,198368,13,12,55,55,52,0
198372,198367,0,52,17,87,95,0
198373,198361,65,87,95,100,100,0
198374,198373,55,65,87,95,100,0
198375,198374,12,55,65,87,95,0
198376,198375,13,12,55,55,52,0
198377,198374,14,12,65,76,77,0
198378,198373,52,65,87,95,100,0
198379,198378,55,52,65,87,95,0
198380,198379,12,55,52,65,87,0
198381,198380,13,12,55,55,52,0
198382,198379,13,12,55,55,52,0
198383,198361,17,87,95,100,100,0
198384,198383,52,17,87,95,100,0
198385,198384,55,52,17,87,95,0
198386,198385,12,55,52,17,87,0
198387,198386,13,12,55,55,52,0
198388,198385,13,12,55,55,52,0
198389,198384,0,52,17,87,95,0
198390,198192,87,95,100,100,100,0
198391,198390,89,87,95,100,100,0
198392,198391,90,89,87,95,100,0
198393,198391,90,89,87,95,100,0
198394,198391,90,89,87,95,100,0
198395,198390,17,87,95,100,100,0
198396,198395,0,17,87,95,100,0
198397,198390,17,87,95,100,100,0
198398,198397,52,17,87,95,100,0
198399,198398,55,52,17,87,95,0
198400,198399,12,55,52,17,87,0
198401,198400,13,12,55,55,52,0
198402,198399,13,12,55,55,52,0
198403,198398,0,52,17,87,95,0
198404,198398,12,52,17,87,95,0
198405,198404,13,12,55,55,52,0
198406,198398,12,52,17,87,95,0
198407,198406,13,12,55,55,52,0
198408,198390,65,87,95,100,100,0
198409,198408,12,65,87,95,100,0
198410,198409,14,12,65,76,77,0
198411,198408,52,65,87,95,100,0
198412,198411,55,52,65,87,95,0
198413,198412,12,55,52,65,87,0
198414,198413,13,12,55,55,52,0
198415,198412,13,12,55,55,52,0
198416,198411,12,52,65,87,95,0
198417,198416,13,12,55,55,52,0
198418,198390,65,87,95,100,100,0
198419,198418,12,65,87,95,100,0
198420,198419,14,12,65,76,77,0
198421,198418,24,65,87,95,100,0
198422,198421,52,24,65,87,95,0
198423,198422,12,52,24,65,87,0
198424,198423,13,12,55,55,52,0
198425,198422,12,52,24,65,87,0
198426,198425,13,12,55,55,52,0
198427,198421,26,24,65,77,87,0
198428,198421,52,24,65,87,95,0
198429,198428,12,52,24,65,87,0
198430,198429,13,12,55,55,52,0
198431,198428,12,52,24,65,87,0
198432,198431,13,12,55,55,52,0
198433,198390,76,87,95,100,100,0
198434,198433,41,76,87,95,100,0
198435,198434,12,41,76,87,95,0
198436,198435,13,12,55,55,52,0
198437,198434,43,41,38,76,87,0
198438,198434,0,41,76,87,95,0
198439,198433,65,76,87,95,100,0
198440,198439,12,65,76,87,95,0
198441,198440,14,12,65,76,77,0
198442,198439,54,65,76,87,95,0
198443,198442,41,54,65,76,87,0
198444,198443,12,41,54,65,76,0
198445,198444,13,12,55,55,52,0
198446,198443,46,41,54,65,76,0
198447,198443,0,41,54,65,76,0
198448,198442,0,54,65,76,87,0
198449,198442,0,54,65,76,87,0
198450,198433,17,76,87,95,100,0
198451,198450,52,17,76,87,95,0
198452,198451,55,52,17,76,87,0
198453,198452,12,55,52,17,76,0
198454,198453,13,12,55,55,52,0
198455,198452,13,12,55,55,52,0
198456,198451,0,52,17,76,87,0
198457,198451,52,52,17,76,87,0
198458,198457,12,52,52,17,76,0
198459,198458,13,12,55,55,52,0
198460,198457,12,52,52,17,76,0
198461,198460,13,12,55,55,52,0
198462,198451,12,52,17,76,87,0
198463,198462,13,12,55,55,52,0
198464,198451,12,52,17,76,87,0
198465,198464,13,12,55,55,52,0
198466,198390,77,87,95,100,100,0
198467,198466,7,77,87,95,100,0
198468,198467,12,7,77,87,95,0
198469,198468,14,12,65,76,77,0
198470,198467,12,7,77,87,95,0
198471,198470,14,12,65,76,77,0
198472,198467,14,12,65,76,77,0
198473,198466,52,77,87,95,100,0
198474,198473,55,52,77,87,95,0
198475,198474,12,55,52,77,87,0
198476,198475,13,12,55,55,52,0
198477,198474,13,12,55,55,52,0
198478,198466,65,77,87,95,100,0
198479,198478,56,65,77,87,95,0
198480,198479,56,56,65,77,87,0
198481,198480,12,56,56,65,77,0
198482,198481,13,12,55,55,52,0
198483,198480,57,56,56,65,77,0
198484,198483,12,57,56,56,65,0
198485,198484,13,12,55,55,52,0
198486,198480,13,12,55,55,52,0
198487,198479,57,56,65,77,87,0
198488,198487,0,57,56,65,77,0
198489,198479,14,12,65,76,77,0
198490,198478,12,65,77,87,95,0
198491,198490,13,12,55,55,52,0
198492,198192,87,95,100,100,100,0
198493,198492,89,87,95,100,100,0
198494,198493,90,89,87,95,100,0
198495,198493,90,89,87,95,100,0
198496,198492,17,87,95,100,100,0
198497,198496,0,17,87,95,100,0
198498,198492,65,87,95,100,100,0
198499,198498,55,65,87,95,100,0
198500,198499,12,55,65,87,95,0
198501,198500,13,12,55,55,52,0
198502,198499,14,12,65,76,77,0
198503,198498,12,65,87,95,100,0
198504,198503,13,12,55,55,52,0
198505,198156,95,100,100,100,100,0
198506,198505,17,95,100,100,100,0
198507,198506,0,17,95,100,100,0
198508,198505,87,95,100,100,100,0
198509,198508,89,87,95,100,100,0
198510,198509,90,89,87,95,100,0
198511,198509,90,89,87,95,100,0
198512,198508,17,87,95,100,100,0
198513,198512,52,17,87,95,100,0
198514,198513,55,52,17,87,95,0
198515,198514,12,55,52,17,87,0
198516,198515,13,12,55,55,52,0
198517,198514,13,12,55,55,52,0
198518,198513,0,52,17,87,95,0
198519,198513,55,52,17,87,95,0
198520,198519,55,55,52,17,87,0
198521,198520,12,55,55,52,17,0
198522,198521,13,12,55,55,52,0
198523,198520,13,12,55,55,52,0
198524,198519,13,12,55,55,52,0
198525,198513,12,52,17,87,95,0
198526,198525,13,12,55,55,52,0
198527,198508,17,87,95,100,100,0
198528,198527,52,17,87,95,100,0
198529,198528,55,52,17,87,95,0
198530,198529,12,55,52,17,87,0
198531,198530,13,12,55,55,52,0
198532,198529,13,12,55,55,52,0
198533,198528,0,52,17,87,95,0
198534,198528,52,52,17,87,95,0
198535,198534,55,52,52,17,87,0
198536,198535,55,55,52,52,17,0
198537,198536,55,55,55,52,52,0
198538,198537,12,55,55,55,52,0
198539,198538,13,12,55,55,52,0
198540,198537,13,12,55,55,52,0
198541,198536,13,12,55,55,52,0
198542,198535,13,12,55,55,52,0
198543,198508,65,87,95,100,100,0
198544,198543,55,65,87,95,100,0
198545,198544,12,55,65,87,95,0
198546,198545,13,12,55,55,52,0
198547,198544,14,12,65,76,77,0
198548,198543,0,65,87,95,100,0
198549,198508,65,87,95,100,100,0
198550,198549,55,65,87,95,100,0
198551,198550,12,55,65,87,95,0
198552,198551,13,12,55,55,52,0
198553,198550,14,12,65,76,77,0
198554,198549,12,65,87,95,100,0
198555,198554,13,12,55,55,52,0
198556,198508,65,87,95,100,100,0
198557,198556,55,65,87,95,100,0
198558,198557,12,55,65,87,95,0
198559,198558,13,12,55,55,52,0
198560,198557,14,12,65,76,77,0
198561,198556,52,65,87,95,100,0
198562,198561,55,52,65,87,95,0
198563,198562,12,55,52,65,87,0
198564,198563,13,12,55,55,52,0
198565,198562,13,12,55,55,52,0
198566,198508,65,87,95,100,100,0
198567,198566,55,65,87,95,100,0
198568,198567,12,55,65,87,95,0
198569,198568,13,12,55,55,52,0
198570,198567,14,12,65,76,77,0
198571,198566,52,65,87,95,100,0
198572,198571,55,52,65,87,95,0
198573,198572,12,55,52,65,87,0
198574,198573,13,12,55,55,52,0
198575,198572,13,12,55,55,52,0
198576,198508,65,87,95,100,100,0
198577,198576,55,65,87,95,100,0
198578,198577,12,55,65,87,95,0
198579,198578,13,12,55,55,52,0
198580,198577,14,12,65,76,77,0
198581,198576,52,65,87,95,100,0
198582,198581,55,52,65,87,95,0
198583,198582,12,55,52,65,87,0
198584,198583,13,12,55,55,52,0
198585,198582,13,12,55,55,52,0
198586,198508,17,87,95,100,100,0
198587,198586,52,17,87,95,100,0
198588,198587,55,52,17,87,95,0
198589,198588,12,55,52,17,87,0
198590,198589,13,12,55,55,52,0
198591,198588,13,12,55,55,52,0
198592,198587,0,52,17,87,95,0
198593,198587,55,52,17,87,95,0
198594,198593,12,55,52,17,87,0
198595,198594,13,12,55,55,52,0
198596,198593,13,12,55,55,52,0
198597,198508,17,87,95,100,100,0
198598,198597,52,17,87,95,100,0
198599,198598,55,52,17,87,95,0
198600,198599,12,55,52,17,87,0
198601,198600,13,12,55,55,52,0
198602,198599,13,12,55,55,52,0
198603,198598,0,52,17,87,95,0
198604,198598,55,52,17,87,95,0
198605,198604,55,55,52,17,87,0
198606,198605,12,55,55,52,17,0
198607,198606,13,12,55,55,52,0
198608,198605,13,12,55,55,52,0
198609,198604,13,12,55,55,52,0
198610,198505,87,95,100,100,100,0
198611,198610,89,87,95,100,100,0
198612,198611,90,89,87,95,100,0
198613,198610,17,87,95,100,100,0
198614,198613,0,17,87,95,100,0
198615,198610,91,87,95,100,100,0
198616,198615,41,91,87,95,100,0
198617,198616,55,41,91,87,95,0
198618,198617,12,55,41,91,87,0
198619,198618,13,12,55,55,52,0
198620,198617,13,12,55,55,52,0
198621,198616,49,41,76,87,95,0
198622,198616,0,41,91,87,95,0
198623,198610,12,87,95,100,100,0
198624,198623,13,12,55,55,52,0
198625,198505,87,95,100,100,100,0
198626,198625,89,87,95,100,100,0
198627,198626,90,89,87,95,100,0
198628,198625,17,87,95,100,100,0
198629,198628,0,17,87,95,100,0
198630,198625,76,87,95,100,100,0
198631,198630,41,76,87,95,100,0
198632,198631,55,41,76,87,95,0
198633,198632,12,55,41,76,87,0
198634,198633,13,12,55,55,52,0
198635,198632,13,12,55,55,52,0
198636,198631,49,41,76,87,95,0
198637,198631,0,41,76,87,95,0
198638,198630,91,76,87,95,100,0
198639,198638,55,91,76,87,95,0
198640,198639,12,55,91,76,87,0
198641,198640,13,12,55,55,52,0
198642,198639,13,12,55,55,52,0
198643,198625,76,87,95,100,100,0
198644,198643,55,76,87,95,100,0
198645,198644,12,55,76,87,95,0
198646,198645,13,12,55,55,52,0
198647,198644,13,12,55,55,52,0
198648,198643,65,76,87,95,100,0
198649,198648,55,65,76,87,95,0
198650,198649,12,55,65,76,87,0
198651,198650,13,12,55,55,52,0
198652,198649,14,12,65,76,77,0
198653,198648,52,65,76,87,95,0
198654,198653,12,52,65,76,87,0
198655,198654,13,12,55,55,52,0
198656,198653,52,52,65,76,87,0
198657,198656,12,52,52,65,76,0
198658,198657,13,12,55,55,52,0
198659,198656,55,52,52,65,76,0
198660,198659,12,55,52,52,65,0
198661,198660,13,12,55,55,52,0
198662,198659,13,12,55,55,52,0
198663,198643,65,76,87,95,100,0
198664,198663,55,65,76,87,95,0
198665,198664,12,55,65,76,87,0
198666,198665,13,12,55,55,52,0
198667,198664,14,12,65,76,77,0
198668,198663,52,65,76,87,95,0
198669,198668,12,52,65,76,87,0
198670,198669,13,12,55,55,52,0
198671,198668,55,52,65,76,87,0
198672,198671,12,55,52,65,76,0
198673,198672,13,12,55,55,52,0
198674,198671,13,12,55,55,52,0
198675,198625,91,87,95,100,100,0
198676,198675,55,91,87,95,100,0
198677,198676,12,55,91,87,95,0
198678,198677,13,12,55,55,52,0
198679,198676,13,12,55,55,52,0
198680,198625,12,87,95,100,100,0
198681,198680,13,12,55,55,52,0
198682,198505,87,95,100,100,100,0
198683,198682,89,87,95,100,100,0
198684,198683,90,89,87,95,100,0
198685,198682,17,87,95,100,100,0
198686,198685,0,17,87,95,100,0
198687,198682,65,87,95,100,100,0
198688,198687,12,65,87,95,100,0
198689,198688,14,12,65,76,77,0
198690,198687,0,65,87,95,100,0
198691,198682,65,87,95,100,100,0
198692,198691,12,65,87,95,100,0
198693,198692,14,12,65,76,77,0
198694,198691,55,65,87,95,100,0
198695,198694,55,55,65,87,95,0
198696,198695,12,55,55,65,87,0
198697,198696,13,12,55,55,52,0
198698,198695,13,12,55,55,52,0
198699,198694,13,12,55,55,52,0
198700,198682,76,87,95,100,100,0
198701,198700,19,76,87,95,100,0
198702,198701,22,19,76,77,87,0
198703,198701,55,19,76,87,95,0
198704,198703,12,55,19,76,87,0
198705,198704,13,12,55,55,52,0
198706,198703,13,12,55,55,52,0
198707,198700,65,76,87,95,100,0
198708,198707,12,65,76,87,95,0
198709,198708,14,12,65,76,77,0
198710,198707,52,65,76,87,95,0
198711,198710,55,52,65,76,87,0
198712,198711,0,55,52,65,76,0
198713,198711,13,12,55,55,52,0
198714,198710,12,52,65,76,87,0
198715,198714,13,12,55,55,52,0
198716,198700,76,76,87,95,100,0
198717,198716,19,76,76,87,95,0
198718,198717,22,19,76,77,87,0
198719,198717,52,19,76,76,87,0
198720,198719,55,52,19,76,76,0
198721,198720,55,55,52,19,76,0
198722,198721,12,55,55,52,19,0
198723,198722,13,12,55,55,52,0
198724,198721,13,12,55,55,52,0
198725,198720,13,12,55,55,52,0
198726,198719,55,52,19,76,76,0
198727,198726,12,55,52,19,76,0
198728,198727,13,12,55,55,52,0
198729,198726,13,12,55,55,52,0
198730,198716,65,76,76,87,95,0
198731,198730,12,65,76,76,87,0
198732,198731,14,12,65,76,77,0
198733,198730,52,65,76,76,87,0
198734,198733,55,52,65,76,76,0
198735,198734,0,55,52,65,76,0
198736,198734,13,12,55,55,52,0
198737,198733,12,52,65,76,76,0
198738,198737,13,12,55,55,52,0
198739,198733,55,52,65,76,76,0
198740,198739,12,55,52,65,76,0
198741,198740,13,12,55,55,52,0
198742,198739,13,12,55,55,52,0
198743,198682,76,87,95,100,100,0
198744,198743,12,76,87,95,100,0
198745,198744,13,12,55,55,52,0
198746,198743,17,76,87,95,100,0
198747,198746,52,17,76,87,95,0
198748,198747,55,52,17,76,87,0
198749,198748,12,55,52,17,76,0
198750,198749,13,12,55,55,52,0
198751,198748,13,12,55,55,52,0
198752,198747,12,52,17,76,87,0
198753,198752,13,12,55,55,52,0
198754,198743,17,76,87,95,100,0
198755,198754,52,17,76,87,95,0
198756,198755,55,52,17,76,87,0
198757,198756,12,55,52,17,76,0
198758,198757,13,12,55,55,52,0
198759,198756,13,12,55,55,52,0
198760,198755,0,52,17,76,87,0
