node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
8424,-1,100,100,100,100,100,0
8425,8424,73,100,100,100,100,0
8426,8425,75,73,100,100,100,0
8427,8424,74,100,100,100,100,0
8428,8427,75,74,100,100,100,0
8429,8427,75,74,100,100,100,0
8430,8424,95,100,100,100,100,0
8431,8430,12,95,100,100,100,0
8432,8431,13,12,57,56,56,0
8433,8430,87,95,100,100,100,0
8434,8433,89,87,95,100,100,0
8435,8434,90,89,87,95,100,0
8436,8434,90,89,87,95,100,0
8437,8434,90,89,87,95,100,0
8438,8434,90,89,87,95,100,0
8439,8434,90,89,87,95,100,0
8440,8434,90,89,87,95,100,0
8441,8434,90,89,87,95,100,0
8442,8434,0,89,87,95,100,0
8443,8434,0,89,87,95,100,0
8444,8434,0,89,87,95,100,0
8445,8433,65,87,95,100,100,0
8446,8445,55,65,87,95,100,0
8447,8446,12,55,65,87,95,0
8448,8447,13,12,57,56,56,0
8449,8446,14,12,64,60,91,0
8450,8445,12,65,87,95,100,0
8451,8450,13,12,57,56,56,0
8452,8433,65,87,95,100,100,0
8453,8452,55,65,87,95,100,0
8454,8453,12,55,65,87,95,0
8455,8454,13,12,57,56,56,0
8456,8453,14,12,64,60,91,0
8457,8452,12,65,87,95,100,0
8458,8457,13,12,57,56,56,0
8459,8433,65,87,95,100,100,0
8460,8459,55,65,87,95,100,0
8461,8460,12,55,65,87,95,0
8462,8461,13,12,57,56,56,0
8463,8460,14,12,64,60,91,0
8464,8459,52,65,87,95,100,0
8465,8464,12,52,65,87,95,0
8466,8465,13,12,57,56,56,0
8467,8464,12,52,65,87,95,0
8468,8467,13,12,57,56,56,0
8469,8433,17,87,95,100,100,0
8470,8469,52,17,87,95,100,0
8471,8470,55,52,17,87,95,0
8472,8471,12,55,52,17,87,0
8473,8472,13,12,57,56,56,0
8474,8471,13,12,57,56,56,0
8475,8470,12,52,17,87,95,0
8476,8475,13,12,57,56,56,0
8477,8433,17,87,95,100,100,0
8478,8477,52,17,87,95,100,0
8479,8478,55,52,17,87,95,0
8480,8479,12,55,52,17,87,0
8481,8480,13,12,57,56,56,0
8482,8479,13,12,57,56,56,0
8483,8478,12,52,17,87,95,0
8484,8483,13,12,57,56,56,0
8485,8433,17,87,95,100,100,0
8486,8485,52,17,87,95,100,0
8487,8486,55,52,17,87,95,0
8488,8487,12,55,52,17,87,0
8489,8488,13,12,57,56,56,0
8490,8487,13,12,57,56,56,0
8491,8486,12,52,17,87,95,0
8492,8491,13,12,57,56,56,0
8493,8430,87,95,100,100,100,0
8494,8493,89,87,95,100,100,0
8495,8494,90,89,87,95,100,0
8496,8493,91,87,95,100,100,0
8497,8496,55,91,87,95,100,0
8498,8497,12,55,91,87,95,0
8499,8498,13,12,57,56,56,0
8500,8497,13,12,57,56,56,0
8501,8493,12,87,95,100,100,0
8502,8501,13,12,57,56,56,0
8503,8430,87,95,100,100,100,0
8504,8503,89,87,95,100,100,0
8505,8504,90,89,87,95,100,0
8506,8503,91,87,95,100,100,0
8507,8506,52,91,87,95,100,0
8508,8507,12,52,91,87,95,0
8509,8508,13,12,57,56,56,0
8510,8507,55,52,91,87,95,0
8511,8510,12,55,52,91,87,0
8512,8511,13,12,57,56,56,0
8513,8510,13,12,57,56,56,0
8514,8503,12,87,95,100,100,0
8515,8514,13,12,57,56,56,0
8516,8430,87,95,100,100,100,0
8517,8516,89,87,95,100,100,0
8518,8517,90,89,87,95,100,0
8519,8517,90,89,87,95,100,0
8520,8516,65,87,95,100,100,0
8521,8520,55,65,87,95,100,0
8522,8521,12,55,65,87,95,0
8523,8522,13,12,57,56,56,0
8524,8521,14,12,64,60,91,0
8525,8520,55,65,87,95,100,0
8526,8525,12,55,65,87,95,0
8527,8526,13,12,57,56,56,0
8528,8525,14,12,64,60,91,0
8529,8520,38,65,87,95,100,0
8530,8529,40,38,91,87,95,0
8531,8529,12,38,65,87,95,0
8532,8531,13,12,57,56,56,0
8533,8529,0,38,65,87,95,0
8534,8516,65,87,95,100,100,0
8535,8534,55,65,87,95,100,0
8536,8535,12,55,65,87,95,0
8537,8536,13,12,57,56,56,0
8538,8535,14,12,64,60,91,0
8539,8534,52,65,87,95,100,0
8540,8539,55,52,65,87,95,0
8541,8540,55,55,52,65,87,0
8542,8541,12,55,55,52,65,0
8543,8542,13,12,57,56,56,0
8544,8541,13,12,57,56,56,0
8545,8540,13,12,57,56,56,0
8546,8539,55,52,65,87,95,0
8547,8546,12,55,52,65,87,0
8548,8547,13,12,57,56,56,0
8549,8546,13,12,57,56,56,0
8550,8516,65,87,95,100,100,0
8551,8550,55,65,87,95,100,0
8552,8551,12,55,65,87,95,0
8553,8552,13,12,57,56,56,0
8554,8551,14,12,64,60,91,0
8555,8550,9,65,87,95,100,0
8556,8430,87,95,100,100,100,0
8557,8556,89,87,95,100,100,0
8558,8557,90,89,87,95,100,0
8559,8557,90,89,87,95,100,0
8560,8556,76,87,95,100,100,0
8561,8560,52,76,87,95,100,0
8562,8561,12,52,76,87,95,0
8563,8562,13,12,57,56,56,0
8564,8561,12,52,76,87,95,0
8565,8564,13,12,57,56,56,0
8566,8561,55,52,76,87,95,0
8567,8566,12,55,52,76,87,0
8568,8567,13,12,57,56,56,0
8569,8566,13,12,57,56,56,0
8570,8560,81,76,87,95,100,0
8571,8570,65,81,76,87,95,0
8572,8571,12,65,81,76,87,0
8573,8572,14,12,64,60,91,0
8574,8571,52,65,81,76,87,0
8575,8574,12,52,65,81,76,0
