node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
72444,-1,100,100,100,100,100,0
72445,72444,17,100,100,100,100,0
72446,72445,0,17,100,100,100,0
72447,72444,73,100,100,100,100,0
72448,72447,75,73,100,100,100,0
72449,72444,74,100,100,100,100,0
72450,72449,75,74,100,100,100,0
72451,72444,74,100,100,100,100,0
72452,72451,75,74,100,100,100,0
72453,72444,73,100,100,100,100,0
72454,72453,75,73,100,100,100,0
72455,72444,73,100,100,100,100,0
72456,72455,75,73,100,100,100,0
72457,72444,73,100,100,100,100,0
72458,72457,75,73,100,100,100,0
72459,72444,73,100,100,100,100,0
72460,72459,75,73,100,100,100,0
72461,72444,74,100,100,100,100,0
72462,72461,75,74,100,100,100,0
72463,72444,74,100,100,100,100,0
72464,72463,75,74,100,100,100,0
72465,72463,75,74,100,100,100,0
72466,72444,74,100,100,100,100,0
72467,72466,75,74,100,100,100,0
72468,72444,74,100,100,100,100,0
72469,72468,75,74,100,100,100,0
72470,72444,65,100,100,100,100,0
72471,72470,12,65,100,100,100,0
72472,72471,14,12,64,60,65,0
72473,72470,52,65,100,100,100,0
72474,72473,55,52,65,100,100,0
72475,72474,12,55,52,65,100,0
72476,72475,13,12,56,56,55,0
72477,72474,13,12,56,56,55,0
72478,72473,12,52,65,100,100,0
72479,72478,13,12,56,56,55,0
72480,72444,95,100,100,100,100,0
72481,72480,17,95,100,100,100,0
72482,72481,0,17,95,100,100,0
72483,72480,87,95,100,100,100,0
72484,72483,89,87,95,100,100,0
72485,72484,90,89,87,95,100,0
72486,72483,17,87,95,100,100,0
72487,72486,52,17,87,95,100,0
72488,72487,55,52,17,87,95,0
72489,72488,12,55,52,17,87,0
72490,72489,13,12,56,56,55,0
72491,72488,13,12,56,56,55,0
72492,72487,0,52,17,87,95,0
72493,72487,55,52,17,87,95,0
72494,72493,55,55,52,17,87,0
72495,72494,12,55,55,52,17,0
72496,72495,13,12,56,56,55,0
72497,72494,13,12,56,56,55,0
72498,72493,13,12,56,56,55,0
72499,72483,65,87,95,100,100,0
72500,72499,55,65,87,95,100,0
72501,72500,12,55,65,87,95,0
72502,72501,13,12,56,56,55,0
72503,72500,14,12,64,60,65,0
72504,72499,7,65,87,95,100,0
72505,72504,0,7,65,87,95,0
72506,72504,0,7,65,87,95,0
72507,72504,13,12,56,56,55,0
72508,72483,65,87,95,100,100,0
72509,72508,55,65,87,95,100,0
72510,72509,12,55,65,87,95,0
72511,72510,13,12,56,56,55,0
72512,72509,14,12,64,60,65,0
72513,72508,52,65,87,95,100,0
72514,72513,12,52,65,87,95,0
72515,72514,13,12,56,56,55,0
72516,72483,65,87,95,100,100,0
72517,72516,55,65,87,95,100,0
72518,72517,12,55,65,87,95,0
72519,72518,13,12,56,56,55,0
72520,72517,14,12,64,60,65,0
72521,72516,52,65,87,95,100,0
72522,72521,12,52,65,87,95,0
72523,72522,13,12,56,56,55,0
72524,72483,17,87,95,100,100,0
72525,72524,52,17,87,95,100,0
72526,72525,55,52,17,87,95,0
72527,72526,12,55,52,17,87,0
72528,72527,13,12,56,56,55,0
72529,72526,13,12,56,56,55,0
72530,72483,17,87,95,100,100,0
72531,72530,52,17,87,95,100,0
72532,72531,55,52,17,87,95,0
72533,72532,12,55,52,17,87,0
72534,72533,13,12,56,56,55,0
72535,72532,13,12,56,56,55,0
72536,72531,0,52,17,87,95,0
72537,72531,55,52,17,87,95,0
72538,72537,55,55,52,17,87,0
72539,72538,12,55,55,52,17,0
72540,72539,13,12,56,56,55,0
72541,72538,13,12,56,56,55,0
72542,72537,13,12,56,56,55,0
72543,72480,87,95,100,100,100,0
72544,72543,89,87,95,100,100,0
72545,72544,90,89,87,95,100,0
72546,72543,17,87,95,100,100,0
72547,72546,0,17,87,95,100,0
72548,72543,77,87,95,100,100,0
72549,72548,12,77,87,95,100,0
