node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
7253,-1,100,100,100,100,100,0
7254,7253,17,100,100,100,100,0
7255,7254,0,17,100,100,100,0
7256,7253,73,100,100,100,100,0
7257,7256,75,73,100,100,100,0
7258,7253,73,100,100,100,100,0
7259,7258,75,73,100,100,100,0
7260,7253,74,100,100,100,100,0
7261,7260,75,74,100,100,100,0
7262,7260,75,74,100,100,100,0
7263,7260,75,74,100,100,100,0
7264,7260,75,74,100,100,100,0
7265,7260,75,74,100,100,100,0
7266,7260,75,74,100,100,100,0
7267,7260,75,74,100,100,100,0
7268,7253,73,100,100,100,100,0
7269,7268,75,73,100,100,100,0
7270,7253,73,100,100,100,100,0
7271,7270,75,73,100,100,100,0
7272,7253,73,100,100,100,100,0
7273,7272,75,73,100,100,100,0
7274,7253,73,100,100,100,100,0
7275,7274,75,73,100,100,100,0
7276,7253,73,100,100,100,100,0
7277,7276,75,73,100,100,100,0
7278,7253,74,100,100,100,100,0
7279,7278,75,74,100,100,100,0
7280,7253,74,100,100,100,100,0
7281,7280,75,74,100,100,100,0
7282,7253,74,100,100,100,100,0
7283,7282,75,74,100,100,100,0
7284,7282,75,74,100,100,100,0
7285,7282,75,74,100,100,100,0
7286,7253,66,100,100,100,100,0
7287,7286,12,66,100,100,100,0
7288,7287,14,12,7,64,60,0
7289,7286,55,66,100,100,100,0
7290,7289,12,55,66,100,100,0
7291,7290,13,12,7,57,56,0
7292,7289,13,12,7,57,56,0
7293,7286,52,66,100,100,100,0
7294,7293,55,52,66,100,100,0
7295,7294,12,55,52,66,100,0
7296,7295,13,12,7,57,56,0
7297,7294,13,12,7,57,56,0
7298,7293,12,52,66,100,100,0
7299,7298,13,12,7,57,56,0
7300,7253,66,100,100,100,100,0
7301,7300,12,66,100,100,100,0
7302,7301,14,12,7,64,60,0
7303,7300,56,66,100,100,100,0
7304,7303,12,56,66,100,100,0
7305,7304,13,12,7,57,56,0
7306,7303,57,56,66,100,100,0
