node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
84973,-1,100,100,100,100,100,0
84974,84973,17,100,100,100,100,0
84975,84974,0,17,100,100,100,0
84976,84973,73,100,100,100,100,0
84977,84976,75,73,100,100,100,0
84978,84973,73,100,100,100,100,0
84979,84978,75,73,100,100,100,0
84980,84973,73,100,100,100,100,0
84981,84980,75,73,100,100,100,0
84982,84973,73,100,100,100,100,0
84983,84982,75,73,100,100,100,0
84984,84973,73,100,100,100,100,0
84985,84984,75,73,100,100,100,0
84986,84973,74,100,100,100,100,0
84987,84986,75,74,100,100,100,0
84988,84973,74,100,100,100,100,0
84989,84988,75,74,100,100,100,0
84990,84973,73,100,100,100,100,0
84991,84990,75,73,100,100,100,0
84992,84973,73,100,100,100,100,0
84993,84992,75,73,100,100,100,0
84994,84973,74,100,100,100,100,0
84995,84994,75,74,100,100,100,0
84996,84973,74,100,100,100,100,0
84997,84996,75,74,100,100,100,0
84998,84973,74,100,100,100,100,0
84999,84998,75,74,100,100,100,0
85000,84973,65,100,100,100,100,0
85001,85000,12,65,100,100,100,0
85002,85001,14,12,64,62,52,0
85003,85000,52,65,100,100,100,0
85004,85003,55,52,65,100,100,0
85005,85004,12,55,52,65,100,0
85006,85005,13,12,55,55,56,0
85007,85004,13,12,55,55,56,0
85008,85003,12,52,65,100,100,0
85009,85008,13,12,55,55,56,0
85010,84973,95,100,100,100,100,0
85011,85010,17,95,100,100,100,0
85012,85011,0,17,95,100,100,0
85013,85010,87,95,100,100,100,0
85014,85013,89,87,95,100,100,0
85015,85014,90,89,87,95,100,0
85016,85013,17,87,95,100,100,0
85017,85016,52,17,87,95,100,0
85018,85017,55,52,17,87,95,0
85019,85018,12,55,52,17,87,0
85020,85019,13,12,55,55,56,0
85021,85018,13,12,55,55,56,0
85022,85017,0,52,17,87,95,0
85023,85017,55,52,17,87,95,0
85024,85023,55,55,52,17,87,0
85025,85024,12,55,55,52,17,0
85026,85025,13,12,55,55,56,0
85027,85024,13,12,55,55,56,0
85028,85023,13,12,55,55,56,0
85029,85013,65,87,95,100,100,0
85030,85029,55,65,87,95,100,0
85031,85030,12,55,65,87,95,0
85032,85031,13,12,55,55,56,0
85033,85030,14,12,64,62,52,0
85034,85029,0,65,87,95,100,0
85035,85013,65,87,95,100,100,0
85036,85035,55,65,87,95,100,0
85037,85036,12,55,65,87,95,0
85038,85037,13,12,55,55,56,0
85039,85036,14,12,64,62,52,0
85040,85035,0,65,87,95,100,0
85041,85013,65,87,95,100,100,0
85042,85041,55,65,87,95,100,0
85043,85042,12,55,65,87,95,0
85044,85043,13,12,55,55,56,0
85045,85042,14,12,64,62,52,0
85046,85041,0,65,87,95,100,0
85047,85013,65,87,95,100,100,0
85048,85047,55,65,87,95,100,0
85049,85048,12,55,65,87,95,0
85050,85049,13,12,55,55,56,0
85051,85048,14,12,64,62,52,0
85052,85047,0,65,87,95,100,0
85053,85013,65,87,95,100,100,0
85054,85053,55,65,87,95,100,0
85055,85054,12,55,65,87,95,0
85056,85055,13,12,55,55,56,0
85057,85054,14,12,64,62,52,0
85058,85053,0,65,87,95,100,0
85059,85013,65,87,95,100,100,0
85060,85059,55,65,87,95,100,0
85061,85060,12,55,65,87,95,0
85062,85061,13,12,55,55,56,0
85063,85060,14,12,64,62,52,0
85064,85059,0,65,87,95,100,0
85065,85013,65,87,95,100,100,0
85066,85065,55,65,87,95,100,0
85067,85066,12,55,65,87,95,0
85068,85067,13,12,55,55,56,0
85069,85066,14,12,64,62,52,0
85070,85065,52,65,87,95,100,0
85071,85070,12,52,65,87,95,0
85072,85071,13,12,55,55,56,0
85073,85013,17,87,95,100,100,0
85074,85073,52,17,87,95,100,0
85075,85074,55,52,17,87,95,0
85076,85075,12,55,52,17,87,0
85077,85076,13,12,55,55,56,0
85078,85075,13,12,55,55,56,0
85079,85074,0,52,17,87,95,0
85080,85074,55,52,17,87,95,0
85081,85080,55,55,52,17,87,0
85082,85081,12,55,55,52,17,0
85083,85082,13,12,55,55,56,0
85084,85081,13,12,55,55,56,0
85085,85080,13,12,55,55,56,0
85086,85010,87,95,100,100,100,0
85087,85086,89,87,95,100,100,0
85088,85087,90,89,87,95,100,0
85089,85086,17,87,95,100,100,0
85090,85089,0,17,87,95,100,0
85091,85086,91,87,95,100,100,0
85092,85091,41,91,87,95,100,0
85093,85092,55,41,91,87,95,0
85094,85093,12,55,41,91,87,0
85095,85094,13,12,55,55,56,0
85096,85093,13,12,55,55,56,0
85097,85092,49,41,38,76,87,0
85098,85092,0,41,91,87,95,0
85099,85086,12,87,95,100,100,0
85100,85099,13,12,55,55,56,0
85101,85010,87,95,100,100,100,0
85102,85101,89,87,95,100,100,0
85103,85102,90,89,87,95,100,0
85104,85101,17,87,95,100,100,0
85105,85104,0,17,87,95,100,0
85106,85101,91,87,95,100,100,0
85107,85106,55,91,87,95,100,0
85108,85107,12,55,91,87,95,0
85109,85108,13,12,55,55,56,0
85110,85107,13,12,55,55,56,0
85111,85101,12,87,95,100,100,0
85112,85111,13,12,55,55,56,0
85113,85010,87,95,100,100,100,0
85114,85113,89,87,95,100,100,0
85115,85114,90,89,87,95,100,0
85116,85113,17,87,95,100,100,0
85117,85116,0,17,87,95,100,0
85118,85113,91,87,95,100,100,0
85119,85118,52,91,87,95,100,0
85120,85119,55,52,91,87,95,0
85121,85120,55,55,52,91,87,0
85122,85121,12,55,55,52,91,0
85123,85122,13,12,55,55,56,0
85124,85121,13,12,55,55,56,0
85125,85120,13,12,55,55,56,0
85126,85119,55,52,91,87,95,0
85127,85126,12,55,52,91,87,0
85128,85127,13,12,55,55,56,0
85129,85126,13,12,55,55,56,0
85130,85119,55,52,91,87,95,0
85131,85130,12,55,52,91,87,0
85132,85131,13,12,55,55,56,0
85133,85130,13,12,55,55,56,0
85134,85113,12,87,95,100,100,0
85135,85134,13,12,55,55,56,0
85136,85010,87,95,100,100,100,0
85137,85136,89,87,95,100,100,0
85138,85137,90,89,87,95,100,0
85139,85136,17,87,95,100,100,0
85140,85139,0,17,87,95,100,0
85141,85136,91,87,95,100,100,0
85142,85141,63,91,87,95,100,0
85143,85142,52,63,91,87,95,0
85144,85143,12,52,63,91,87,0
85145,85144,13,12,55,55,56,0
85146,85143,12,52,63,91,87,0
85147,85146,13,12,55,55,56,0
85148,85142,56,63,91,87,95,0
85149,85148,12,56,63,91,87,0
85150,85149,13,12,55,55,56,0
85151,85148,57,56,63,91,87,0
85152,85151,0,57,56,63,91,0
85153,85148,13,12,55,55,56,0
85154,85142,64,63,91,87,95,0
85155,85154,7,64,63,91,87,0
85156,85155,12,7,64,63,91,0
85157,85156,14,12,64,62,52,0
85158,85155,12,7,64,63,91,0
85159,85158,14,12,64,62,52,0
85160,85155,14,12,64,62,52,0
85161,85154,52,64,63,91,87,0
85162,85161,55,52,64,63,91,0
85163,85162,56,55,52,64,63,0
85164,85163,55,56,55,52,64,0
85165,85164,12,55,56,55,52,0
85166,85165,13,12,55,55,56,0
85167,85164,13,12,55,55,56,0
85168,85163,57,56,55,52,64,0
85169,85168,0,57,56,55,52,0
85170,85163,13,12,55,55,56,0
85171,85162,13,12,55,55,56,0
85172,85136,12,87,95,100,100,0
85173,85172,13,12,55,55,56,0
85174,85010,87,95,100,100,100,0
85175,85174,89,87,95,100,100,0
85176,85175,90,89,87,95,100,0
85177,85174,17,87,95,100,100,0
85178,85177,0,17,87,95,100,0
85179,85174,91,87,95,100,100,0
85180,85179,52,91,87,95,100,0
85181,85180,55,52,91,87,95,0
85182,85181,55,55,52,91,87,0
85183,85182,12,55,55,52,91,0
85184,85183,13,12,55,55,56,0
85185,85182,13,12,55,55,56,0
85186,85181,13,12,55,55,56,0
85187,85174,12,87,95,100,100,0
85188,85187,13,12,55,55,56,0
85189,85010,87,95,100,100,100,0
85190,85189,89,87,95,100,100,0
85191,85190,90,89,87,95,100,0
85192,85189,17,87,95,100,100,0
85193,85192,0,17,87,95,100,0
85194,85189,91,87,95,100,100,0
85195,85194,56,91,87,95,100,0
85196,85195,56,56,91,87,95,0
85197,85196,56,56,56,91,87,0
85198,85197,55,56,56,56,91,0
85199,85198,12,55,56,56,56,0
85200,85199,13,12,55,55,56,0
85201,85198,13,12,55,55,56,0
85202,85197,57,56,56,56,91,0
85203,85202,0,57,56,56,56,0
85204,85197,13,12,55,55,56,0
85205,85196,57,56,56,91,87,0
85206,85205,52,57,56,56,91,0
85207,85206,12,52,57,56,56,0
85208,85207,13,12,55,55,56,0
85209,85206,56,52,57,56,56,0
85210,85209,55,56,52,57,56,0
85211,85210,12,55,56,52,57,0
85212,85211,13,12,55,55,56,0
85213,85210,13,12,55,55,56,0
85214,85209,57,56,52,57,56,0
85215,85214,19,57,56,52,57,0
85216,85215,21,19,57,56,24,0
85217,85215,0,19,57,56,52,0
85218,85209,13,12,55,55,56,0
85219,85196,13,12,55,55,56,0
85220,85195,57,56,91,87,95,0
85221,85220,0,57,56,91,87,0
85222,85195,13,12,55,55,56,0
85223,85189,12,87,95,100,100,0
85224,85223,13,12,55,55,56,0
85225,85010,87,95,100,100,100,0
85226,85225,89,87,95,100,100,0
85227,85226,90,89,87,95,100,0
85228,85225,17,87,95,100,100,0
85229,85228,0,17,87,95,100,0
85230,85225,91,87,95,100,100,0
85231,85230,55,91,87,95,100,0
85232,85231,55,55,91,87,95,0
85233,85232,12,55,55,91,87,0
85234,85233,13,12,55,55,56,0
85235,85232,13,12,55,55,56,0
85236,85231,13,12,55,55,56,0
85237,85225,12,87,95,100,100,0
85238,85237,13,12,55,55,56,0
85239,85010,87,95,100,100,100,0
85240,85239,89,87,95,100,100,0
85241,85240,90,89,87,95,100,0
85242,85239,17,87,95,100,100,0
85243,85242,0,17,87,95,100,0
85244,85239,65,87,95,100,100,0
85245,85244,12,65,87,95,100,0
85246,85245,14,12,64,62,52,0
85247,85244,52,65,87,95,100,0
85248,85247,55,52,65,87,95,0
85249,85248,55,55,52,65,87,0
85250,85249,12,55,55,52,65,0
85251,85250,13,12,55,55,56,0
85252,85249,13,12,55,55,56,0
85253,85248,13,12,55,55,56,0
85254,85247,55,52,65,87,95,0
85255,85254,12,55,52,65,87,0
85256,85255,13,12,55,55,56,0
85257,85254,13,12,55,55,56,0
85258,85247,52,52,65,87,95,0
85259,85258,55,52,52,65,87,0
85260,85259,0,55,52,52,65,0
85261,85259,13,12,55,55,56,0
85262,85258,55,52,52,65,87,0
85263,85262,12,55,52,52,65,0
85264,85263,13,12,55,55,56,0
85265,85262,13,12,55,55,56,0
85266,85239,17,87,95,100,100,0
85267,85266,52,17,87,95,100,0
85268,85267,55,52,17,87,95,0
85269,85268,12,55,52,17,87,0
85270,85269,13,12,55,55,56,0
85271,85268,13,12,55,55,56,0
85272,85267,0,52,17,87,95,0
85273,85267,12,52,17,87,95,0
85274,85273,13,12,55,55,56,0
85275,85239,65,87,95,100,100,0
85276,85275,12,65,87,95,100,0
85277,85276,14,12,64,62,52,0
85278,85275,52,65,87,95,100,0
85279,85278,12,52,65,87,95,0
85280,85279,13,12,55,55,56,0
85281,85278,0,52,65,87,95,0
85282,85239,65,87,95,100,100,0
85283,85282,55,65,87,95,100,0
85284,85283,12,55,65,87,95,0
85285,85284,13,12,55,55,56,0
85286,85283,14,12,64,62,52,0
85287,85282,52,65,87,95,100,0
85288,85287,55,52,65,87,95,0
85289,85288,12,55,52,65,87,0
85290,85289,13,12,55,55,56,0
85291,85288,13,12,55,55,56,0
85292,85287,12,52,65,87,95,0
85293,85292,13,12,55,55,56,0
85294,85239,17,87,95,100,100,0
85295,85294,52,17,87,95,100,0
85296,85295,55,52,17,87,95,0
85297,85296,12,55,52,17,87,0
85298,85297,13,12,55,55,56,0
85299,85296,13,12,55,55,56,0
85300,85295,0,52,17,87,95,0
85301,85295,55,52,17,87,95,0
85302,85301,12,55,52,17,87,0
85303,85302,13,12,55,55,56,0
85304,85301,13,12,55,55,56,0
85305,85010,87,95,100,100,100,0
85306,85305,89,87,95,100,100,0
85307,85306,90,89,87,95,100,0
85308,85306,90,89,87,95,100,0
85309,85306,90,89,87,95,100,0
85310,85306,90,89,87,95,100,0
85311,85306,0,89,87,95,100,0
85312,85305,17,87,95,100,100,0
85313,85312,0,17,87,95,100,0
85314,85305,17,87,95,100,100,0
85315,85314,52,17,87,95,100,0
85316,85315,55,52,17,87,95,0
85317,85316,12,55,52,17,87,0
85318,85317,13,12,55,55,56,0
85319,85316,13,12,55,55,56,0
85320,85315,0,52,17,87,95,0
85321,85315,12,52,17,87,95,0
85322,85321,13,12,55,55,56,0
85323,85305,76,87,95,100,100,0
85324,85323,38,76,87,95,100,0
85325,85324,39,38,76,76,76,0
85326,85324,41,38,76,87,95,0
85327,85326,55,41,38,76,87,0
85328,85327,12,55,41,38,76,0
85329,85328,13,12,55,55,56,0
85330,85327,13,12,55,55,56,0
85331,85326,42,41,76,76,76,0
85332,85326,12,41,38,76,87,0
