node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
9295,-1,100,100,100,100,100,0
9296,9295,73,100,100,100,100,0
9297,9296,75,73,100,100,100,0
9298,9295,73,100,100,100,100,0
9299,9298,75,73,100,100,100,0
9300,9295,87,100,100,100,100,0
9301,9300,89,87,100,100,100,0
9302,9300,77,87,100,100,100,0
9303,9302,12,77,87,100,100,0
9304,9303,14,56,65,84,81,0
9305,9302,7,77,87,100,100,0
9306,9305,55,7,77,87,100,0
9307,9306,12,55,7,77,87,0
9308,9307,13,12,52,52,17,0
9309,9306,13,12,52,52,17,0
9310,9305,55,7,77,87,100,0
9311,9310,12,55,7,77,87,0
9312,9311,13,12,52,52,17,0
9313,9310,13,12,52,52,17,0
9314,9305,55,7,77,87,100,0
9315,9314,12,55,7,77,87,0
9316,9315,13,12,52,52,17,0
9317,9314,13,12,52,52,17,0
9318,9305,13,12,52,52,17,0
9319,9302,76,77,87,100,100,0
9320,9319,52,76,77,87,100,0
9321,9320,55,52,76,77,87,0
9322,9321,12,55,52,76,77,0
9323,9322,13,12,52,52,17,0
9324,9321,13,12,52,52,17,0
9325,9319,91,76,77,87,100,0
9326,9325,52,91,76,77,87,0
9327,9326,55,52,91,76,77,0
9328,9327,12,55,52,91,76,0
9329,9328,13,12,52,52,17,0
9330,9327,13,12,52,52,17,0
9331,9326,52,52,91,76,77,0
9332,9331,55,52,52,91,76,0
9333,9332,12,55,52,52,91,0
9334,9333,13,12,52,52,17,0
9335,9332,13,12,52,52,17,0
9336,9300,91,87,100,100,100,0
9337,9336,0,91,87,100,100,0
9338,9295,87,100,100,100,100,0
9339,9338,89,87,100,100,100,0
9340,9339,90,89,87,100,100,0
9341,9338,65,87,100,100,100,0
9342,9341,12,65,87,100,100,0
9343,9342,14,56,65,84,81,0
9344,9341,9,65,87,100,100,0
9345,9338,65,87,100,100,100,0
9346,9345,12,65,87,100,100,0
9347,9346,14,56,65,84,81,0
9348,9345,7,65,87,100,100,0
9349,9348,7,7,65,87,100,0
9350,9349,0,7,7,65,87,0
9351,9349,0,7,7,65,87,0
9352,9349,13,12,52,52,17,0
9353,9348,7,7,65,87,100,0
9354,9353,0,7,7,65,87,0
9355,9353,0,7,7,65,87,0
9356,9353,13,12,52,52,17,0
9357,9348,7,7,65,87,100,0
9358,9357,0,7,7,65,87,0
9359,9357,0,7,7,65,87,0
9360,9357,13,12,52,52,17,0
9361,9348,13,12,52,52,17,0
9362,9338,65,87,100,100,100,0
9363,9362,12,65,87,100,100,0
9364,9363,14,56,65,84,81,0
9365,9362,52,65,87,100,100,0
9366,9365,55,52,65,87,100,0
9367,9366,12,55,52,65,87,0
9368,9367,13,12,52,52,17,0
9369,9366,13,12,52,52,17,0
9370,9338,77,87,100,100,100,0
9371,9370,7,77,87,100,100,0
9372,9371,12,7,77,87,100,0
9373,9372,14,56,65,84,81,0
9374,9371,12,7,77,87,100,0
9375,9374,14,56,65,84,81,0
9376,9371,14,56,65,84,81,0
9377,9370,12,77,87,100,100,0
9378,9377,13,12,52,52,17,0
9379,9370,65,77,87,100,100,0
9380,9379,12,65,77,87,100,0
9381,9380,14,56,65,84,81,0
