node_id,parent_id,class_name,anc1_class_name,anc2_class_name,anc3_class_name,anc4_class_name,Generator
9491,-1,100,100,100,100,100,0
9492,9491,73,100,100,100,100,0
9493,9492,75,73,100,100,100,0
9494,9491,73,100,100,100,100,0
9495,9494,75,73,100,100,100,0
9496,9491,73,100,100,100,100,0
9497,9496,75,73,100,100,100,0
9498,9491,73,100,100,100,100,0
9499,9498,75,73,100,100,100,0
9500,9491,74,100,100,100,100,0
9501,9500,75,74,100,100,100,0
9502,9491,74,100,100,100,100,0
9503,9502,75,74,100,100,100,0
9504,9502,75,74,100,100,100,0
9505,9491,95,100,100,100,100,0
9506,9505,12,95,100,100,100,0
9507,9506,13,12,55,52,52,0
9508,9505,87,95,100,100,100,0
9509,9508,89,87,95,100,100,0
9510,9509,90,89,87,95,100,0
9511,9509,90,89,87,95,100,0
9512,9509,0,89,87,95,100,0
9513,9508,65,87,95,100,100,0
9514,9513,55,65,87,95,100,0
9515,9514,12,55,65,87,95,0
9516,9515,13,12,55,52,52,0
9517,9514,14,12,65,81,77,0
9518,9513,12,65,87,95,100,0
9519,9518,13,12,55,52,52,0
9520,9508,65,87,95,100,100,0
9521,9520,55,65,87,95,100,0
9522,9521,12,55,65,87,95,0
9523,9522,13,12,55,52,52,0
9524,9521,14,12,65,81,77,0
9525,9520,55,65,87,95,100,0
9526,9525,12,55,65,87,95,0
9527,9526,13,12,55,52,52,0
9528,9525,13,12,55,52,52,0
9529,9508,65,87,95,100,100,0
9530,9529,55,65,87,95,100,0
9531,9530,12,55,65,87,95,0
9532,9531,13,12,55,52,52,0
9533,9530,14,12,65,81,77,0
9534,9529,55,65,87,95,100,0
9535,9534,12,55,65,87,95,0
9536,9535,13,12,55,52,52,0
9537,9534,13,12,55,52,52,0
9538,9505,65,95,100,100,100,0
9539,9538,12,65,95,100,100,0
9540,9539,14,12,65,81,77,0
9541,9538,7,65,95,100,100,0
9542,9541,0,7,65,95,100,0
9543,9541,0,7,65,95,100,0
9544,9541,13,12,55,52,52,0
9545,9505,65,95,100,100,100,0
9546,9545,12,65,95,100,100,0
9547,9546,14,12,65,81,77,0
9548,9545,7,65,95,100,100,0
9549,9548,0,7,65,95,100,0
9550,9548,0,7,65,95,100,0
9551,9548,0,7,65,95,100,0
9552,9548,13,12,55,52,52,0
9553,9505,65,95,100,100,100,0
9554,9553,12,65,95,100,100,0
9555,9554,14,12,65,81,77,0
9556,9553,7,65,95,100,100,0
9557,9556,0,7,65,95,100,0
9558,9556,0,7,65,95,100,0
9559,9556,0,7,65,95,100,0
9560,9556,13,12,55,52,52,0
9561,9505,65,95,100,100,100,0
9562,9561,12,65,95,100,100,0
9563,9562,14,12,65,81,77,0
9564,9561,7,65,95,100,100,0
9565,9564,0,7,65,95,100,0
9566,9564,0,7,65,95,100,0
9567,9564,13,12,55,52,52,0
9568,9505,65,95,100,100,100,0
9569,9568,12,65,95,100,100,0
9570,9569,14,12,65,81,77,0
9571,9568,7,65,95,100,100,0
9572,9571,0,7,65,95,100,0
9573,9571,0,7,65,95,100,0
9574,9571,13,12,55,52,52,0
9575,9505,87,95,100,100,100,0
9576,9575,89,87,95,100,100,0
9577,9576,90,89,87,95,100,0
9578,9575,91,87,95,100,100,0
9579,9578,24,91,87,95,100,0
9580,9579,55,24,91,87,95,0
9581,9580,55,55,24,91,87,0
9582,9581,12,55,55,24,91,0
9583,9582,13,12,55,52,52,0
9584,9581,13,12,55,52,52,0
9585,9580,13,12,55,52,52,0
9586,9579,26,24,91,76,76,0
9587,9579,55,24,91,87,95,0
9588,9587,55,55,24,91,87,0
9589,9588,12,55,55,24,91,0
9590,9589,13,12,55,52,52,0
9591,9588,13,12,55,52,52,0
9592,9587,13,12,55,52,52,0
9593,9575,12,87,95,100,100,0
9594,9593,13,12,55,52,52,0
9595,9505,87,95,100,100,100,0
9596,9595,89,87,95,100,100,0
9597,9596,90,89,87,95,100,0
9598,9595,91,87,95,100,100,0
